Index	Title	Content
0	'Sgt. Pepper' 50th Anniversary: The Making of a Rock Classic - Extended Intro	"(Content adapted from Lauri Ulster’s “'Sgt. Pepper' 50th Anniversary: The Making of a Rock Classic”)

Sgt. Pepper’s Lonely Hearts Club Band spun the music industry on its heels. When the album came out, the public devoured it, the critics raved, and other musicians stopped in their tracks, recognizing that the game had changed forever.

When you break it down into its individual songs, there is the usual mix of masterpieces, gems, and lesser songs—within the context of still being the Beatles, which means even the lesser songs impress—but there’s something that happened when the Beatles, the time period, the studio, and the people who worked on the album came together. Much like the Lennon-McCartney songwriting team, and the Lennon-McCartney-Harrison-Starr combination, there was alchemy at play, and the result woke up the music industry to the fact that new creative frontiers were possible, and could still be commercial as hell.

Love it or not, the album was groundbreaking. Let’s take a closer look at the elements that brought it all together, starting with:

The Studio
By the mid-sixties, The Beatles—who’d initially been turned down by every record label in town—ruled over Abbey Road studios. They couldn’t control things like the drab décor or the painfully rough toilet paper—okay, they did eventually get that changed, after much protest—but they could put the studio and its staff on hold, and wander in and out as they pleased. They’d set session times for 7:00 p.m. but show up hours later. They’d have nothing scheduled, but suddenly call everybody up and tell them to come in. They’d use whatever instruments were around, fight for the padlock to be taken off the fridge so they’d still have access to it in the wee hours of the morning, and record whenever the inspiration struck, working on individual songs, tracks, or even simple riffs for as long as it took to get the sound just right. Anyone who signed on to work with them knew that their hours would be long and completely unpredictable, but incredibly rewarding. 

They filled the studio up with other musicians, friends, and artists. When George Martin brought in half an orchestra for “A Day in the Life,” the Beatles asked for them to come in “evening dress,” and they did the same, although their version of it involved, as Martin described them, “outrageously flamboyant floral costumes.” McCartney showed up in a full-length red cook’s apron. 

That was the atmosphere, but the studio’s technology was the other important piece of Abbey Road’s creative puzzle. At that time, producers only had four tracks available to work with, and every time they transferred the recording to another tape, they sacrificed some of the quality. The constant improvisation needed to move beyond the restraints of the era spurred the Beatles, along with producer George Martin and engineer Geoff Emerick, to new creative heights as they found innovative and strange ways to get to what they were after. That spirit of experimentation is as much a part of the album as the tracks themselves. "
1	2012 Extinction	"The Maya, an ancient South American culture, predicted that time would end in a violent apocalypse on December 21,  2012. They created  an elaborate astronomical calendar called  ""The Long Count,"" which stops abruptly  in 2012. This date, which is also the winter equinox, coincides with an incredibly rare galactic alignment that happens once  every 26,000 years. What did the Mayans think would happen when their calendar ended? And were they joined by other cultures--from different parts of the world and in different centuries--all pointing to 2012 as a calamitous end time? The Hopi Indians and Eastern Hindu share similar calendars, which are remarkably synchronous. One counter-culture mystic even uses an Ancient Chinese philosophy to unlock the key to a 2012 prophecy. Nostradamus himself suggests the world is headed toward a coming cataclysm. What can we do to head the warning of the Mayan apocalypse?"
2	2012 Extinction	"The Maya, an ancient South American culture, predicted that time would end in a violent apocalypse on December 21, 2012. They created an elaborate astronomical calendar called ""The Long Count,"" which stops abruptly in 2012."
3	2013 Heisman Preview	"The 2013 Heisman Trophy race promises to field a group of dual-threat quarterbacks that have displayed the ability to impact the game with their tremendous passing and rushing skills.
The trend of all-purpose quarterbacks dominating the Heisman chase continued in 2012, as Texas A&M’s Johnny Manziel captured college football’s top individual award.
Heisman voters have had a fascination with these athletes that have redefined the quarterback position in recent years. Florida’s Tim Tebow opened up the floodgates of this new Heisman era by running and passing his way to the bronzed trophy in 2007. Since then, the award has been garnered by similar performances from Auburn’s Cam Newton, Baylor’s Robert Griffin III and the Aggies Johnny Football."
4	A Giant Mini Supermarket - Special Interest Story	"This may look like the front of a vending machine. In fact, to make a purchase, all you do is dial a code and a robot sales clerk does the rest.

Instead of just sodas or crackers, this machine offers more than five hundred items - like panty hose, shampoos, lotions, pacifiers, tooth paste, batteries – even dog food. Need to stock up the fridge? No problem. The automatic supermarket stocks all the essentials – eggs, milk, juices, ham, cheese, yogurt, fresh fruit, cake mix, bread, rice, cereal, pasta, a variety of frozen foods, and just about anything else you can think of to complete your shopping list. The automatic store offers almost every luxury you can think of – wine and liquor, cigarettes, even chocolates. About the only thing this store can’t do is carry your grocery bags for you. But the customers don’t seem to mind - and squeezed into just 500 square feet, this curious little shop just may be the convenience store of the future."
5	A Haunting title	"In this world, there is real evil.
In the darkest shadows and in the most ordinary places.
These are the true stories o the innocent and the unimaginable.

Between the world we see and the things we fear.
There are doors.
When they are opened.
Nightmares become reality."
6	A Haunting title	"A Haunting title

In this world, there is real evil.
In the darkest shadows and in the most ordinary places.
These are the true stories o the innocent and the unimaginable.

Between the world we see and the things we fear.
There are doors.
When they are opened.
Nightmares become reality."
7	A Penchant for Luxury	Something happend to Korean humility on the country's journey from rags to riches--it got lost.Whatever happened to the generations-old Korean tradition of making do with less, the result of the 35 year Japanese occupation and having to rebuild from the ashes of war?  It was replaced by a penchant for extravagance.Seoul's M youngdong is the shopper with money to burn can also have a ball shopping for luxury goods in a pkujong or Chongdam dong, That's quite a remarkable turnaround for a country where just one generation a go the average Korean spent his or her time at markets haggling over the price of a pari of socks costing 100 won.
8	A Story	"Every moment has a story. And every story matters

The first men painted stories on stone walls, the ancient Egyptians chose the chisel instead.

The Incans told story with dances and fire, aborigines told it with star and spear.

Stories are at the very essence of human life. They count the breaths of every sunrise, the beats of every emotion and the silence of every heart. Stories take the fleeting temporal and makes them eternal."
9	Abiogenic theory	The abiogenic theory holds that hydrocarbons were a component of the material that formed the earth, through accretion of solids, some 4.5 billion years ago. With increasing internal heat, liquids and gases were liberated, and because they were less dense than the rocks, buoyancy forces drove them upward. In favorable conditions, the upward journey from the regions of origin would be dammed temporarily in porous rocks at depths that our drills can reach, and from which we then derive commercial petroleum.
