Index	Title	Content
0	2 Virtual Tour/E-Learning Scripts	"Morton Arboretum

Welcome to Morton Arboretum, home to more than 36 HUNDRED native trees, shrubs, and plants. This virtual guide provides a snapshot of what to expect when you visit our Wheaton, Illinois location. First, let’s look at how to get the most from your virtual tour. See the 5 Main tabs across the top of your screen--Introduction, Trees, Shrubs, Plants, and Frequently Asked Questions? The “Introduction” tab is highlighted because your tour automatically started here when you clicked the “Enter” button on the home page. Use your mouse to click on a different Key page. Each Key page lists subcategories in its left pane. Hover your mouse over each subcategory to view a drop-down menu, then click the subtopic you want. Use the black scroll bar to navigate subcategories. Use the white scroll bar at the right of your screen to navigate each Main page. Now let’s continue.

Incline Village

Hello—you’ve arrived at Incline Village in scenic Lake Tahoe! Click “Enter” now to join our virtual tour of magnificent Village features. Click on any of the 5 tabs—Golf, Tennis, Skiing, Event & Meeting Facilities, or Local Attractions for a close-up look. Click the red Pause button or the yellow Zoom button at any time to take in even more detail. Visit Frequently Asked Questions by clicking the FAQs (“fax”) icon—it’s located at the top right of your screen. Now let’s get started!"
1	A Haunting Title	"In this world, there is real evil.
In the darkest shadows and in the most ordinary places.
These are the true stories o the innocent and the unimaginable.

Between the world we see and the things we fear.
There are doors.
When they are opened.
Nightmares become reality."
2	A story	"Every moment has a story. And every story matters

The first men painted stories on stone walls, the ancient Egyptians chose the chisel instead.

The Incans told story with dances and fire, aborigines told it with star and spear.

Stories are at the very essence of human life. They count the breaths of every sunrise, the beats of every emotion and the silence of every heart. Stories take the fleeting temporal and makes them eternal."
3	A Story	"Every moment has a story. And every story matters

The first men painted stories on stone walls, the ancient Egyptians chose the chisel instead.

The Incans told story with dances and fire, aborigines told it with star and spear.

Stories are at the very essence of human life. They count the breaths of every sunrise, the beats of every emotion and the silence of every heart. Stories take the fleeting temporal and makes them eternal."
4	A&E Fashion Special	"If you're in the market to liven up your décor, here are some racy new items you can buy now to express your colorful side!

Why not invest in functional art? Charlotte Beyorlin's geometric rugs blend swatches of velvet, suede, wool and leather to create a truly sensory delight.

Fly away on this zany propeller stool. Aviation inspired legs support an elegant velvet cushion blending frivolity and form.

Hand-stitched leather lamps can really lighten up a room. Mix and match the textured shades for a funky effect.Hang on to these fuzzy hangers from Domis. Unique bristles deter wrinkles and make a colorful addition to a bare closet.

And here's another way to add some edge and comfort to your home. These authentic Tibetan lamp accessories are very hot among today's designers."
5	Abiogenic Theory	The abiogenic theory holds that hydrocarbons were a component of the material that formed the earth, through accretion of solids, some 4.5 billion years ago. With increasing internal heat, liquids and gases were liberated, and because they were less dense than the rocks, buoyancy forces drove them upward. In favorable conditions, the upward journey from the regions of origin would be dammed temporarily in porous rocks at depths that our drills can reach, and from which we then derive commercial petroleum.
6	Adopted Children Seeking Biological Parents	"Adopted Children Seeking Biological Parents
It is natural for an adopted child to be curious about his or her biological parents or siblings. By collecting as much background information as you can during the adoption process, you may be able to satisfactorily answer some of your child's questions. At least until he or she is old enough or able to get further information on their own."
7	Adopted Children Seeking Biological Parents	It is natural for an adopted child to be curious about his or her biological parents or siblings. By collecting as much background information as you can during the adoption process, you may be able to satisfactorily answer some of your child's questions. At least until he or she is old enough or able to get further information on their own.
8	Adopted Children Seeking Birth Parents	Adopted children are naturally curious about their birth parents and siblings. Gathering as much background information during the adoption process will prove to be helpful as your child grows. Having concrete answers to your child’s questions will provide a foundation for future conversations. This kind of honesty is essential for building a solid relationship. It also creates an environment for a grown child to confidently pursue additional information on their own.
9	Air Processor 2000	To install a new capsule into your air purifier, switch the unit “off.” Then remove the new capsule from it’s protective wrapping. Open the capsule cap by turning in the direction opposite to that indicated by the arrow on the cap. Insert the capsule in the cap until the tabs catch the cap. Insert the complete cap into the air purifier. Turn the cap in the direction of the arrow. And then switch the unit back “on.” Your air purifier will now release a pleasant fragrance during operation. Either choose “repeat” to watch this demonstration again, or it will automatically close.
10	Alexander Solzhenitsyn Nobel Lecture (Excerpt)	A work of art contains its verification in itself; artificial, strained concepts do not withstand the test of being turned into images; they fall to pieces, turn out to be sickly and pale, convince no one. Works which draw on truth and present it to us in live and concentrated form grip us, compellingly involve us, and no one ever, not even ages hence, will come forth to refute them.
11	AllState Insurance	Congratulations, you just bought Allstate Home Owners Insurance. And now, if your home or property suffers a covered loss or is damaged, you’ll be covered, and that’s a good feeling. However there are some things that can’t be replaced, so that’s why it’s so important to prevent the damages from occurring in the first place. Here, you’ll learn what steps you can take to make your home safe and secure.
12	Alltel's 401k Plan	If the concept of long-term investing is new to you, you'll profit from learning a few basics of investing. Watching this video is a start. We'll provide you with a general background on investing and specific information on the funds available in the ALLTEL 401K plan. We can't advise you which investment selections are best for you, but hope to provide information that will allow you to make sound decisions for yourself. We'll start by taking a look at how money in the 401K plan might grow over the course of 25 years, considering various levels of contributions.
13	American Airlines	Welcome aboard American Airlines coast-to-coast service. We’ll be happy to do everything possible to make your flight with us a most pleasurable experience. We’ll provide you with all the information you need to know about your flight, your destination, and the equipment on which you are currently flying. In addition, we are proud to present our American Airlines feature film presentation, for our transcontinental passengers. We’d like you now to remove the plastic insert found directly in front of you in the seat back pocket. Please review the safety information during the flight for your own protection, in the unlikely event of an in-flight emergency.
14	American Life Investment -personal Finance	Even if you’re in the second half of your life, there is no time like the present to take stock of your financial situation. And how you deal with those personal finances will determine a lot about the quality of your life. That’s why “American Life Investment” brings you this, “My Retirement Planning” video.
15	Amica Life Insurance	In the next fifteen minutes, you will learn the four steps towards a better retirement. An IRA will be a key player in almost any retirement plan. Here are some steps you can take now to make your IRA work harder for you and help secure a more comfortable retirement. The earlier you start contributing to a tax-deferred annuity, the larger your nest egg can grow. Over time, the combination of tax deferral and compound interest can be dramatic. Although you can open an IRA annuity with as little as 50.00, make the maximum contribution.
16	Apex	"This “how to” video is designed to teach you how to draw a basic area using Apex.
In future videos, we will show you how to use the more advanced features of Apex that will help you get around those special or odd circumstances. For now, lets stick to the basics."
17	Availability	Availability of business applications is required for a company to stay competitive, productive, and profitable. Application users require availability or else the business suffers. Service providers must establish an infrastructure to support the availability requirements, or they may be subject to fines and penalties. Unavailability is visible to the organization, to the organization's customers, and to the media. Attaining the desired availability does not happen by just installing lots of hardware or software. It must be planned, designed, and implemented using specific techniques.
18	Availability	"Availability
Availability of business applications is required for a company to stay competitive, productive, and profitable. Application users require availability or else the business suffers. Service providers must establish an infrastructure to support the availability requirements, or they may be subject to fines and penalties. Unavailability is visible to the organization, to the organization's customers, and to the media. Attaining the desired availability does not happen by just installing lots of hardware or software. It must be planned, designed, and implemented using specific techniques."
19	Baby Massage	This video is for parents…and grandparents…and for you, because you want your baby to thrive. For a baby, touch is talk. Touch is the most developed sense a small baby has. Skin to skin contact is a powerful way to communicate with your baby before your baby can talk to you. Give your baby the gift of feeling deeply connected to you. Make sure your child knows what positive touch is all about. Create a deep and lasting bond. Years later, when your grown child gives you a big hug or confides in you, you will be glad that you gave them a special way of communicating with you.
20	Bacteria	"The bacteria are assigned to the kingdom Monera, also called Prokaryotae.  On average, the prokaryotic cells of bacteria are much smaller, and much simpler in structure, than eukaryotic cells.  Most prokaryotes are one-celled, although many kinds occur as filaments (strings) or clumps of independent cells.
	Some bacterial fossils date from 3.5 billion years ago, long before the evolution of cells recognizable as eukaryotes of the modern type.  Today, bacteria are still by far the most numerous organisms, flourishing in almost every conceivable habitat, including our own bodies."
21	Ballroom Dancing	Just as you can’t run without first learning how to walk, you can’t dance without first learning how to connect with your partner. So let’s try one of the simplest of moves… the FoxTrot. Now, grab your partner. Ladies, bring your feet together. Men, flatten your stomach.
22	Bank Employee Training Web Video	"When you first open a Client Interaction, you will be on the Identification Page. This is the default page for all client interactions. Please confirm the caller's Social Security Number before continuing. Once confirmed, click the ""next"" button, like this. Great, now let's move on to step-2."
23	Basketball Video	"Nothing is more frustrating for a basketball player than to come into a season in top shape, only to find himself sitting on the bench. That's what this Fastbreak Basketball video is for. In the next hour, you'll learn how the ""Flexible Fastbreak System"" can transform you from a bench warmer into a player. And where else better to begin than drills. Listed for you are the five most important drills: lead-up, breakdown drills, secondary breaks drills, ……."
24	Beginning Scuba	"During open water certification, a scuba diver is taught that the most important rule in scuba diving is to breathe continuously and to avoid holding his breath underwater. But why is this rule so important?
 Scuba diving is different from snorkeling or free diving. When a snorkeler or freediver takes a breath from the surface and dives down, the air in his lungs compresses due to the pressure of the water.
 Steps to Avoid a Pulmonary Barotrauma
A lung over-pressurization injury is known as a pulmonary barotrauma, and can occur at both microscopic and macroscopic levels if a diver holds his breath and ascends. A pulmonary barotrauma is a dangerous injury because it can force air into a divers chest cavity or blood stream.
 The Take Home Message About the Most Important Rule in Scuba Diving:
The rule to never hold your breath when scuba diving is important both for dive safety and dive efficiency. A diver who holds his breath underwater will not decrease his air consumption or prolong his dive. He merely increases the concentration of carbon dioxide in his lungs which makes him feel starved for air."
25	Berlitz - The German Coast Guard	"Improve your English.

Berlitz

Language for life."
26	Bicycle	) A bicycle can be among a runner’s most valuable tools for training the body to shift into gear, develop quicker turnover, create more power and reach peak racing shape. Begin by replacing one or two of your weekly easy runs with a 60- to 90-minute bike session. After a few weeks, replace one of your weekly fast running workouts by ramping up the intensity and adding intervals in the middle of a ride. The primary goal should be to mimic the neuromuscular cadence of quick leg turnover while running.
