Index	Title	Content
0	Business ethics: Summary	"Business ethics  is a form of applied ethics or professional ethics, that examines ethical principles and moral or ethical problems that can arise in a business environment. It applies to all aspects of business conduct and is relevant to the conduct of individuals and entire organizations. These ethics originate from individuals, organizational statements or from the legal system. These norms, values, ethical, and unethical practices are what is used to guide business. They help those businesses maintain a better connection with their stakeholders.Business ethics refers to contemporary organizational standards, principles, sets of values and norms that govern the actions and behavior of an individual in the business organization. Business ethics have two dimensions, normative business ethics or descriptive business ethics. As a corporate practice and a career specialization, the field is primarily normative. Academics attempting to understand business behavior employ descriptive methods. The range and quantity of business ethical issues reflects the interaction of profit-maximizing behavior with non-economic concerns.
Interest in business ethics accelerated dramatically during the 1980s and 1990s, both within major corporations and within academia. For example, most major corporations today promote their commitment to non-economic values under headings such as ethics codes and social responsibility charters.
Adam Smith said, ""People of the same trade seldom meet together, even for merriment and diversion, but the conversation ends in a conspiracy against the public, or in some contrivance to raise prices."" Governments use laws and regulations to point business behavior in what they perceive to be beneficial directions. Ethics implicitly regulates areas and details of behavior that lie beyond governmental control. The emergence of large corporations with limited relationships and sensitivity to the communities in which they operate accelerated the development of formal ethics regimes."
1	Business ethics: History	Business ethics reflect the norms of each historical period. As time passes, norms evolve, causing accepted behaviors to become objectionable. Business ethics and the resulting behavior evolved as well. Business was involved in slavery, colonialism, and the cold war.The term 'business ethics' came into common use in the United States in the early 1970s. By the mid-1980s at least 500 courses in business ethics reached 40,000 students, using some twenty textbooks and at least ten casebooks supported by professional societies, centers and journals of business ethics. The Society for Business Ethics was founded in 1980. European business schools adopted business ethics after 1987 commencing with the European Business Ethics Network. In 1982 the first single-authored books in the field appeared.Firms began highlighting their ethical stature in the late 1980s and early 1990s, possibly in an attempt to distance themselves from the business scandals of the day, such as the savings and loan crisis. The concept of business ethics caught the attention of academics, media and business firms by the end of the Cold War. However, criticism of business practices was attacked for infringing the freedom of entrepreneurs and critics were accused of supporting communists. This scuttled the discourse of business ethics both in media and academia. The Defense Industry Initiative on Business Ethics and Conduct(DII) was created to support corporate ethical conduct. This era began the belief and support of self-regulation and free trade, which lifted tariffs and barriers and allowed businesses to merge and divest in an increasing global atmosphere.
2	Business ethics: Religious and philosophical origins	One of the earliest written treatments of business ethics is found in the Tirukkuṛaḷ, a Tamil book dated variously from 300 BCE to 7th century CE and attributed to Thiruvalluvar. Many verses discuss business ethics, in particular verse 113, adapting to a changing environment in verses 474, 426, and 140, learning the intricacies of different tasks in verses 462 and 677.
3	Business ethics: Overview	"Business ethics reflects the philosophy of business, of which one aim is to determine the fundamental purposes of a company. If a company's purpose is to maximize shareholder returns, then sacrificing profits for other concerns is a violation of its fiduciary responsibility. Corporate entities are legally considered as persons in the United States and in most nations. The 'corporate persons' are legally entitled to the rights and liabilities due to citizens as persons.
Ethics are the rules or standards that govern our decisions on a daily basis. Many consider “ethics” with conscience or a simplistic sense of “right” and “wrong.” Others would say that ethics is an internal code that governs an individual’s conduct, ingrained into each person by family, faith, tradition, community, laws, and personal mores. Corporations and professional organizations, particularly licensing boards, generally will have a written “Code of Ethics” that governs standards of professional conduct expected of all in the field.
It is important to note that “law” and “ethics” are not synonymous, nor are the “legal” and “ethical” courses of action in a given situation necessarily the same. Statutes and regulations passed by legislative bodies and administrative boards set forth the “law.” Slavery once was legal in the US, but one certainly wouldn’t say enslaving another was an “ethical” act.
Economist Milton Friedman writes that corporate executives' ""responsibility... generally will be to make as much money as possible while conforming to their basic rules of the society, both those embodied in law and those embodied in ethical custom"".  Friedman also said, ""the only entities who can have responsibilities are individuals ... A business cannot have responsibilities. So the question is, do corporate executives, provided they stay within the law, have responsibilities in their business activities other than to make as much money for their stockholders as possible? And my answer to that is, no, they do not."" A multi-country 2011 survey found support for this view among the ""informed public"" ranging from 30 to 80%. Ronald Duska views Friedman's argument as consequentialist rather than pragmatic, implying that unrestrained corporate freedom would benefit the most in long term. Similarly author business consultant Peter Drucker observed, ""There is neither a separate ethics of business nor is one needed"", implying that standards of personal ethics cover all business situations. However, Peter Drucker in another instance observed that the ultimate responsibility of company directors is not to harm—primum non nocere.
Another view of business is that it must exhibit corporate social responsibility: an umbrella term indicating that an ethical business must act as a responsible citizen of the communities in which it operates even at the cost of profits or other goals. In the US and most other nations corporate entities are legally treated as persons in some respects. For example, they can hold title to property, sue and be sued and are subject to taxation, although their free speech rights are limited. This can be interpreted to imply that they have independent ethical responsibilities. Duska argues that stakeholders have the right to expect a business to be ethical; if business has no ethical obligations, other institutions could make the same claim which would be counterproductive to the corporation.Ethical issues include the rights and duties between a company and its employees, suppliers, customers and neighbors, its fiduciary responsibility to its shareholders. Issues concerning relations between different companies include hostile take-overs and industrial espionage. Related issues include corporate governance; corporate social entrepreneurship; political contributions; legal issues such as the ethical debate over introducing a crime of corporate manslaughter; and the marketing of corporations' ethics policies.
According to IBE/ Ipsos MORI research published in late 2012, the three major areas of public concern regarding business ethics in Britain are executive pay, corporate tax avoidance and bribery and corruption.Ethical standards of an entire organization can be damaged if a corporate psychopath is in charge.This will not only affect the company and its outcome but the employees who work under a corporate psychopath. The way a corporate psychopath can rise in a company is by their manipulation, scheming, and bullying. They do this in a way that can hide their true character and intentions within a company."
4	Business ethics: Finance	Fundamentally, finance is a social science discipline. The discipline borders behavioral economics, sociology, economics, accounting and management. It concerns technical issues such as the mix of debt and equity, dividend policy, the evaluation of alternative investment projects, options, futures, swaps, and other derivatives, portfolio diversification and many others. Finance is often mistaken by the people to be a discipline free from ethical burdens. The 2008 financial crisis caused critics to challenge the ethics of the executives in charge of U.S. and European financial institutions and financial regulatory bodies. Finance ethics is overlooked for another reason—issues in finance are often addressed as matters of law rather than ethics.
5	Business ethics: Other issues	Fairness in trading practices, trading conditions, financial contracting, sales practices, consultancy services, tax payments, internal audit, external audit and executive compensation also, fall under the umbrella of finance and accounting. Particular corporate ethical/legal abuses include: creative accounting, earnings management, misleading financial analysis, insider trading, securities fraud, bribery/kickbacks and facilitation payments. Outside of corporations, bucket shops and forex scams are criminal manipulations of financial markets. Cases include accounting scandals, Enron, WorldCom and Satyam.
6	Business ethics: Human resource management	"Human resource management occupies the sphere of activity of recruitment selection, orientation, performance appraisal, training and development, industrial relations and health and safety issues. Business Ethicists differ in their orientation towards labor ethics. Some assess human resource policies according to whether they support an egalitarian workplace and the dignity of labor.Issues including employment itself, privacy, compensation in accord with comparable worth, collective bargaining  can be seen either as inalienable rights or as negotiable.Discrimination by age, gender/sexual harassment, race, religion, disability, weight and attractiveness. A common approach to remedying discrimination is affirmative action.
Once hired, employees have the right to occasional cost of living increases, as well as raises based on merit.  Promotions, however, are not a right, and there are often fewer openings than qualified applicants. It may seem unfair if an employee who has been with a company longer is passed over for a promotion, but it is not unethical. It is only unethical if the employer did not give the employee proper consideration or used improper criteria for the promotion.Each employer should know the distinction between what is unethical and what is illegal. If an action is illegal it is breaking the law but if an action seems morally incorrect that is unethical. In the workplace what is unethical does not mean illegal and should follow the guidelines put in place by OSHA, EEOC, and other law binding entities.  
Potential employees have ethical obligations to employers, involving intellectual property protection and whistle-blowing.
Employers must consider workplace safety, which may involve modifying the workplace, or providing appropriate training or hazard disclosure. This differentiates on the location and type of work that is taking place and can needs to comply with the standards to protect employees and non-employees under workplace safety.  
Larger economic issues such as immigration, trade policy, globalization and trade unionism affect workplaces and have an ethical dimension, but are often beyond the purview of individual companies."
7	Business ethics: Sales and marketing	"Marketing ethics came of age only as late as the 1990s. Marketing ethics was approached from ethical perspectives of virtue or virtue ethics, deontology, consequentialism, pragmatism and relativism.Ethics in marketing deals with the principles, values and/or ideals by which marketers ought to act. Marketing ethics is also contested terrain, beyond the previously described issue of potential conflicts between profitability and other concerns.
Ethical marketing issues include marketing redundant or dangerous products/services transparency about environmental risks, transparency about product ingredients such as genetically modified organisms possible health risks, financial risks, security risks, etc., respect for consumer privacy and autonomy, advertising truthfulness and fairness in pricing & distribution.According to Borgerson, and Schroeder, marketing can influence individuals' perceptions of and interactions with other people, implying an ethical responsibility to avoid distorting those perceptions and interactions.Marketing ethics involves pricing practices, including illegal actions such as price fixing and legal actions including price discrimination and price skimming. Certain promotional activities have drawn fire, including  greenwashing, bait and switch, shilling, viral marketing, spam, pyramid schemes and multi-level marketing. Advertising has raised objections about attack ads, subliminal messages, sex in advertising and marketing in schools."
8	Business ethics: Emerging Business Ethics Issues	"Being the most important element of a business, stakeholders' main concern is to determine whether or not the business is behaving ethically or unethically. The business' actions and decisions should be primarily ethical before it happens to become an ethical or even legal issue. ""In the case of the government, community, and society what was merely an ethical issue can become a legal debate and eventually law.""
Some unethical issues are:
1. Fairness
The three aspects that motivate people to be fair is; equality, optimization, and reciprocity. Fairness is the quality of being just, equitable, and impartial.
2. Misuse of company's times & Resources
This particular topic may not seems to be a very common one, but it is very important, as it costs a company billions of dollars on a yearly basis. This misuse is from late arrivals, leaving early, long lunch breaks, inappropriate sick days etc. This has been observed as a major form of misconduct in businesses today. One of the greatest ways employees participate in misuse of company's time and resources is by using the company computer for personal use.
3. Consumer Fraud
There are many different types of fraud, namely; friendly fraud, return fraud, wardrobing, price arbitrage, returning stolen goods.
Fraud is a major unethical practice within businesses which should be paid special attention. Consumer fraud is when consumers attempt to deceive businesses for their very own benefit.4. Abusive Behavior
A common ethical issue among employees. Abusive behavior consists of inflicting intimidating acts on other employees. Such acts include harassing, using profanity, threatening someone physically and insulting them, and being annoying."
9	Business ethics: Production	"This area of business ethics usually deals with the duties of a company to ensure that products and production processes do not needlessly cause harm. Since few goods and services can be produced and consumed with zero risk, determining the ethical course can be problematic. In some case consumers demand products that harm them, such as tobacco products. Production may have environmental impacts, including pollution, habitat destruction and urban sprawl. The downstream effects of technologies nuclear power, genetically modified food and mobile phones may not be well understood. While the precautionary principle may prohibit introducing new technology whose consequences are not fully understood, that principle would have prohibited most new technology introduced since the industrial revolution. Product testing protocols have been attacked for violating the rights of both humans and animals.With technology growing there are sources and websites that provide list and information on companies and business and that are ""green"" or do not test on animals. These companies often advertise this and are growing in popularity among the younger generations."
