Index	Title	Content
0	Communication: Summary	"Communication is the act of conveying meanings from one entity or group to another through the use of mutually understood signs and semiotic rules.
The main steps inherent to all communication are:
The formation of communicative motivation or reason.
Message composition.
Message encoding.
Transmission of the encoded message as a sequence of signals using a specific channel or medium.
Noise sources such as natural forces and in some cases human activity begin influencing the quality of signals propagating from the sender to one or more receivers.
Reception of signals and reassembling of the encoded message from a sequence of received signals.
Decoding of the reassembled encoded message.
Interpretation and making sense of the presumed original message.The scientific study of communication can be divided into:

Information theory which studies the quantification, storage, and communication of information in general;
Communication studies which concerns human communication;
Biosemiotics which examines communication in and between living organisms in general.The channel of communication can be visual, auditory, tactile and haptic, olfactory, electromagnetic, or biochemical.
Human communication is unique for its extensive use of abstract language. Development of civilization has been closely linked with progress in telecommunication."
1	Communication: Non-verbal	"Nonverbal communication describes the processes of conveying a type of information in the form of non-linguistic representations. Examples of nonverbal communication include haptic communication, chronemic communication, gestures, body language, facial expressions, eye contact, and how one dresses. Nonverbal communication also relates to the intent of a message. Examples of intent are voluntary, intentional movements like shaking a hand or winking, as well as involuntary, such as sweating. Speech also contains nonverbal elements known as paralanguage, e.g. rhythm, intonation, tempo, and stress. It affects communication most at the subconscious level and establishes trust. Likewise, written texts include nonverbal elements such as handwriting style, the spatial arrangement of words and the use of emoticons to convey emotion.
Nonverbal communication demonstrates one of Wazlawick's laws: you cannot not communicate. Once proximity has formed awareness, living creatures begin interpreting any signals received. Some of the functions of nonverbal communication in humans are to complement and illustrate, to reinforce and emphasize, to replace and substitute, to control and regulate, and to contradict the denovative message.
Nonverbal cues are heavily relied on to express communication and to interpret others’ communication and can replace or substitute verbal messages. However, non-verbal communication is ambiguous. When verbal messages contradict non-verbal messages, observation of non-verbal behaviour is relied on to judge another’s attitudes and feelings, rather than assuming the truth of the verbal message alone.
There are several reasons as to why non-verbal communication plays a vital role in communication:
“Non-verbal communication is omnipresent.”  They are included in every single communication act. To have total communication, all non-verbal channels such as the body, face, voice, appearance, touch, distance, timing, and other environmental forces must be engaged during face-to-face interaction. Written communication can also have non-verbal attributes. E-mails and web chats allow an individual’s the option to change text font colours, stationary, emoticons, and capitalization in order to capture non-verbal cues into a verbal medium.
“Non-verbal behaviours are multifunctional.”  Many different non-verbal channels are engaged at the same time in communication acts and allow the chance for simultaneous messages to be sent and received.
“Non-verbal behaviours may form a universal language system.”  Smiling, crying, pointing, caressing, and glaring are non-verbal behaviours that are used and understood by people regardless of nationality. Such non-verbal signals allow the most basic form of communication when verbal communication is not effective due to language barriers."
2	Communication: Verbal	"Verbal communication is the spoken or written conveyance of a message. Human language can be defined as a system of symbols and the grammars by which the symbols are manipulated. The word ""language"" also refers to common properties of languages. Language learning normally occurs most intensively during human childhood. Most of the thousands of human languages use patterns of sound or gesture for symbols which enable communication with others around them. Languages tend to share certain properties, although there are exceptions. There is no defined line between a language and a dialect. Constructed languages such as Esperanto, programming languages, and various mathematical formalism is not necessarily restricted to the properties shared by human languages.
As previously mentioned, language can be characterized as symbolic. Charles Ogden and I.A Richards developed The Triangle of Meaning model to explain the symbol, the referent, and the meaning
The properties of language are governed by rules. Language follows phonological rules, syntactic rules, semantic rules, and pragmatic rules.
The meanings that are attached to words can be literal, or otherwise known as denotative; relating to the topic being discussed, or, the meanings take context and relationships into account, otherwise known as connotative; relating to the feelings, history, and power dynamics of the communicators."
3	Communication: Written communication and its historical development	"Over time the forms of and ideas about communication have evolved through the continuing progression of technology. Advances include communications psychology and media psychology, an emerging field of study.
The progression of written communication can be divided into three ""information communication revolutions"":
Written communication first emerged through the use of pictographs. The pictograms were made in stone, hence written communication was not yet mobile. Pictograms began to develop standardized and simplified forms.
The next step occurred when writing began to appear on paper, papyrus, clay, wax, and other media with commonly shared writing systems, leading to adaptable alphabets. Communication became mobile.
The final stage is characterized by the transfer of information through controlled waves of electromagnetic radiation and other electronic signals.Communication is thus a process by which meaning is assigned and conveyed in an attempt to create shared understanding. Gregory Bateson called it ""the replication of tautologies in the universe. This process, which requires a vast repertoire of skills in interpersonal processing, listening, observing, speaking, questioning, analyzing, gestures, and evaluating enables collaboration and cooperation."
4	Communication: Business	"Business communication is used for a wide variety of activities including, but not limited to: strategic communications planning, media relations, public relations, brand management, reputation management, speech-writing, customer-client relations, and internal/employee communications.
Companies with limited resources may choose to engage in only a few of these activities, while larger organizations may employ a full spectrum of communications. Since it is difficult to develop such a broad range of skills, communications professionals often specialize in one or two of these areas but usually have at least a working knowledge of most of them. By far, the most important qualifications communications professionals can possess are excellent writing ability, good 'people' skills, and the capacity to think critically and strategically."
5	Communication: Political	"Communication is one of the most relevant tools in political strategies, including persuasion and propaganda. In mass media research and online media research, the effort of the strategist is that of getting a precise decoding, avoiding ""message reactance"", that is, message refusal. The reaction to a message is referred also in terms of approach to a message, as follows:

In ""radical reading"" the audience rejects the meanings, values, and viewpoints built into the text by its makers. Effect: message refusal.
In ""dominant reading"", the audience accepts the meanings, values, and viewpoints built into the text by its makers. Effect: message acceptance.
In ""subordinate reading"" the audience accepts, by and large, the meanings, values, and worldview built into the text by its makers. Effect: obey to the message.Holistic approaches are used by communication campaign leaders and communication strategists in order to examine all the options, ""actors"" and channels that can generate change in the semiotic landscape, that is, change in perceptions, change in credibility, change in the ""memetic background"", change in the image of movements, of candidates, players and managers as perceived by key influencers that can have a role in generating the desired ""end-state"".
The modern political communication field is highly influenced by the framework and practices of ""information operations"" doctrines that derive their nature from strategic and military studies. According to this view, what is really relevant is the concept of acting on the Information  Environment. The information environment is the aggregate of individuals, organizations, and systems that collect, process, disseminate, or act on information. This environment consists of three interrelated dimensions, which continuously interact with individuals, organizations, and systems. These dimensions are known as physical, informational, and cognitive."
6	Communication: Family	"Family communication is the study of the communication perspective in a broadly defined family, with intimacy and trusting relationship. The main goal of family communication is to understand the interactions of family and the pattern of behaviors of family members in different circumstances. Open and honest communication creates an atmosphere that allows family members to express their differences as well as love and admiration for one another. It also helps to understand the feelings of one another.
Family communication study looks at topics such as family rules, family roles or family dialectics and how those factors could affect the communication between family members. Researchers develop theories to understand communication behaviors. Family communication study also digs deep into certain time periods of family life such as marriage, parenthood or divorce and how communication stands in those situations. It is important for family members to understand communication as a trusted way which leads to a well constructed family."
7	Communication: Interpersonal	"In simple terms, interpersonal communication is the communication between one person and another. It is often referred to as face-to-face communication between two people. Both verbal and nonverbal communication, or body language, play a part in how one person understands another. In verbal interpersonal communication there are two types of messages being sent: a content message and a relational message. Content messages are messages about the topic at hand and relational messages are messages about the relationship itself. This means that relational messages come across in how one says something and it demonstrates a person’s feelings, whether positive or negative, towards the individual they are talking to, indicating not only how they feel about the topic at hand, but also how they feel about their relationship with the other individual.There are many different aspects of interpersonal communication including;
-	Audiovisual Perception of Communication Problems 
The concept follows the idea that our words change what form they take based on the stress level or urgency of the situation.
It also explores the concept that stuttering during speech shows the audience that there is a problem or that the situation is more stressful.-	The Attachment Theory 
This is the combined work of John Bowlby and Mary Ainsworth
This theory follows the relationships that builds between a mother and child, and the impact it has on their relationships with others.-	Emotional Intelligence and Triggers 
Emotional Intelligence focuses on the ability to monitor ones own emotions as well as those of others.
Emotional Triggers focus on events or people that tend to set off intense, emotional reactions within individuals.-	Attribution Theory 
This is the study of how individuals explain what causes different events and behaviors.-	The Power of Words 
Verbal communication focuses heavily on the power of words, and how those words are said.
It takes into consideration tone, volume, and choice of words.-	Nonverbal Communication

Focuses heavily on the setting that the words are conveyed in.
As well as the physical tone of the words.-	Ethics in Personal Relations 
It is about a space of mutual responsibility between two individuals, it’s about giving and receiving in a relationship.
This theory is explored by Dawn J. Lipthrott in the article What IS Relationship? What is Ethical Partnership?-	Deception in Communication 
This concept goes into that everyone lies, and how this can impact relationships.
This theory is explored by James Hearn in his article Interpersonal Deception Theory: Ten Lessons for Negotiators-	Conflict in Couples 
This focuses on the impact that social media has on relationships.
As well as how to communicate through conflict.
This theory is explored by Amanda Lenhart and Maeve Duggan in their paper Couples, the Internet, and Social Media"
8	Communication: Barriers to effectiveness	"Barriers to effective communication can retard or distort the message or intention of the message being conveyed. This may result in failure of the communication process or cause an effect that is undesirable. These include filtering, selective perception, information overload, emotions, language, silence, communication apprehension, gender differences and political correctnessThis also includes a lack of expressing ""knowledge-appropriate"" communication, which occurs when a person uses ambiguous or complex legal words, medical jargon, or descriptions of a situation or environment that is not understood by the recipient.

Physical barriers- Physical barriers are often due to the nature of the environment. An example of this is the natural barrier which exists if staff is located in different buildings or on different sites. Likewise, poor or outdated equipment, particularly the failure of management to introduce new technology, may also cause problems. Staff shortages are another factor which frequently causes communication difficulties for an organization.
System design- System design faults refer to problems with the structures or systems in place in an organization. Examples might include an organizational structure which is unclear and therefore makes it confusing to know whom to communicate with. Other examples could be inefficient or inappropriate information systems, a lack of supervision or training, and a lack of clarity in roles and responsibilities which can lead to staff being uncertain about what is expected of them.
Attitudinal barriers- Attitudinal barriers come about as a result of problems with staff in an organization. These may be brought about, for example, by such factors as poor management, lack of consultation with employees, personality conflicts which can result in people delaying or refusing to communicate, the personal attitudes of individual employees which may be due to lack of motivation or dissatisfaction at work, brought about by insufficient training to enable them to carry out particular tasks, or simply resistance to change due to entrenched attitudes and ideas.
Ambiguity of words/phrases- Words sounding the same but having different meaning can convey a different meaning altogether. Hence the communicator must ensure that the receiver receives the same meaning. It is better if such words are avoided by using alternatives whenever possible.
Individual linguistic ability- The use of jargon, difficult or inappropriate words in communication can prevent the recipients from understanding the message. Poorly explained or misunderstood messages can also result in confusion. However, research in communication has shown that confusion can lend legitimacy to research when persuasion fails.
Physiological barriers- These may result from individuals' personal discomfort, caused—for example—by ill health, poor eyesight or hearing difficulties.
Bypassing-These happens when the communicators do not attach the same symbolic meanings to their words. It is when the sender is expressing a thought or a word but the receiver takes it in a different meaning. For example- ASAP, Rest room
Technological multi-tasking and absorbency- With a rapid increase in technologically-driven communication in the past several decades, individuals are increasingly faced with condensed communication in the form of e-mail, text, and social updates. This has, in turn, led to a notable change in the way younger generations communicate and perceive their own self-efficacy to communicate and connect with others. With the ever-constant presence of another ""world"" in one's pocket, individuals are multi-tasking both physically and cognitively as constant reminders of something else happening somewhere else bombard them. Though perhaps too new of an advancement to yet see long-term effects, this is a notion currently explored by such figures as Sherry Turkle.
Fear of being criticized-This is a major factor that prevents good communication. If we exercise simple practices to improve our communication skill, we can become effective communicators. For example, read an article from the newspaper or collect some news from the television and present it in front of the mirror. This will not only boost your confidence but also improve your language and vocabulary.
Gender barriers- Most communicators whether aware or not, often have a set agenda. This is very notable among the different genders. For example, many women are found to be more critical in addressing conflict. It's also been noted that men are more than likely to withdraw from conflict when in comparison to women. This breakdown and comparison not only shows that there are many factors to communication between two specific genders but also room for improvement as well as established guidelines for all."
9	Communication: Cultural aspects	"Cultural differences exist within countries, between religious groups and in organisations or at an organisational level - where companies, teams and units may have different expectations, norms and idiolects. Families and family groups may also experience the effect of cultural barriers to communication within and between different family members or groups. For example: words, colours and symbols have different meanings in different cultures. In most parts of the world, nodding your head means agreement, shaking your head means no, except in some parts of the world.Communication to a great extent is influenced by culture and cultural variables. Understanding cultural aspects of communication refers to having knowledge of different cultures in order to communicate effectively with cross culture people. Cultural aspects of communication are of great relevance in today's world which is now a global village, thanks to globalisation. Cultural aspects of communication are the cultural differences which influences communication across borders. Impact of cultural differences on communication components are explained below:
1) Verbal communication refers to form of communication which uses spoken and written words for expressing and transferring views and ideas. Language is the most important tool of verbal communication and it is the area where cultural difference play its role. All countries have different languages and to have a better understanding of different culture it is required to have knowledge of languages of different countries.
2) Non verbal communication is a very wide concept and it includes all the other forms of communication which do not uses written or spoken words. Non verbal communication takes following forms:

Paralinguistics are the voice involved in communication other than actual language and involves tones, pitch, vocal cues etc. It also include sounds from throat and all these are greatly influenced by cultural differences across borders.
Proxemics deals with the concept of space element in communication. Proxemics explains four zones of spaces namely intimate personal, social and public. This concept differs with different culture as the permissible space vary in different countries.
Artifactics studies about the non verbal signals or communication which emerges from personal accessories such as dresses or fashion accessories worn and it varies with culture as people of different countries follow different dressing codes.
Chronemics deal with the time aspects of communication and also include importance given to the time. Some issues explaining this concept are pauses, silences and response lag during an interaction. This aspect of communication is also influenced by cultural differences as it is well known that there is a great difference in the value given by different cultures to time.
Kinesics mainly deals with the body languages such as postures, gestures, head nods, leg movements etc. In different countries, the same gestures and postures are used to convey different messages. Sometimes even a particular kinesic indicating something good in a country may have a negative meaning in any other culture.So in order to have an effective communication across world it is desirable to have a knowledge of cultural variables effecting communication.
According to Michael Walsh and Ghil'ad Zuckermann, Western conversational interaction is typically ""dyadic"", between two particular people, where eye contact is important and the speaker controls the interaction; and ""contained"" in a relatively short, defined time frame. However, traditional Aboriginal conversational interaction is ""communal"", broadcast to many people, eye contact is not important, the listener controls the interaction; and ""continuous"", spread over a longer, indefinite time frame."
