Index	Title	Content
0	Corporate social responsibility: Summary	"Corporate social responsibility is a type of international private business self-regulation. While once it was possible to describe CSR as an internal organisational policy or a business strategy, that time has passed as various international laws have been developed and various organisations have used their authority to push it beyond individual or even industry-wide initiatives. While it has been considered a form of corporate self-regulation for some time, over the last decade or so it has moved considerably from voluntary decisions at the level of individual organisations, to mandatory schemes at regional, national and even transnational levels.  
Considered at the organisational level, CSR is an organisational policy. As such, it must align with and be integrated into a business model to be successful.  With some models, a firm's implementation of CSR goes beyond compliance with regulatory  requirements, and  engages in ""actions that appear to further some social good, beyond the interests of the firm and that which is required by law"". The choices of 'complying' with the law, failing to comply, and 'going beyond' are three distinct strategic organisational choices. While in many areas such as environmental or labor regulations, employers may choose to comply with the law, or go beyond the law, other organisations may choose to flout the law. These organisations are taking on clear legal risks.  The nature of the legal risk, however, changes when attention is paid to soft law. Soft law may incur legal liability particularly when businesses make misleading claims about their sustainability or other ethical credentials and practices.  Overall, businesses may engage in CSR for strategic or ethical purposes. From a strategic perspective, the aim is to increase long-term profits and shareholder trust through positive public relations and high ethical standards to reduce business and legal risk by taking responsibility for corporate actions. CSR strategies encourage the company to make a positive impact on the environment and stakeholders including consumers, employees, investors, communities, and others.  From an ethical perspective, some businesses will adopt CSR policies and practices because of ethical beliefs of senior management. For example, a CEO may believe that harming the environment is ethically objectionable.Proponents argue that corporations increase long-term profits by operating with a CSR perspective, while critics argue that CSR distracts from businesses' economic role. A 2000 study compared existing econometric studies of the relationship between social and financial performance, concluding that the contradictory results of previous studies reporting positive, negative, and neutral financial impact, were due to flawed empirical analysis and claimed when the study is properly specified, CSR has a neutral impact on financial outcomes. Critics questioned the ""lofty"" and sometimes ""unrealistic expectations"" in CSR. or that CSR is merely window-dressing, or an attempt to pre-empt the role of governments as a watchdog over powerful multinational corporations. In line with this critical perspective, political and sociological institutionalists became interested in CSR in the context of theories of globalization, neoliberalism and late capitalism. Some institutionalists viewed CSR as a form of capitalist legitimacy and in particular point out that what began as a social movement against uninhibited corporate power was transformed by corporations into a 'business model' and a 'risk management' device, often with questionable results.CSR is titled to aid an organization's mission as well as serve as a guide to what the company represents for its consumers. Business ethics is the part of applied ethics that examines ethical principles and moral or ethical problems that can arise in a business environment. ISO 26000 is the recognized international standard for CSR. Public sector organizations adhere to the triple bottom line. It is widely accepted that CSR adheres to similar principles, but with no formal act of legislation."
1	Corporate social responsibility: Definition	"Since the 1960s, corporate social responsibility has attracted attention from a range of businesses and stakeholders. A wide variety of definitions have been developed but with little consensus. Part of the problem with definitions has arisen because of the different interests represented. A business person may define CSR as a business strategy, an NGO activist may see it as 'greenwash' while a government official may see it as voluntary regulation.""  In addition, disagreement about the definition will arise from the disciplinary approach.""  For example, while an economist might consider the director's discretion necessary for CSR to be implemented a risk of agency costs, a law academic may consider that discretion to be an appropriate expression of what the law demands from directors.Corporate social responsibility has recently been defined by Sheehy as ""international private business self-regulation."" Sheehy examined a range of different disciplinary approaches to defining CSR. The definitions reviewed included the economic definition of ""sacrificing profits,"" a management definition of ""beyond compliance"", institutionalist views of CSR as a ""socio-political movement"" and law's own focus on directors' duties. Further, Sheehy considered Carroll's widely used description of CSR as a pyramid of responsibilities, namely, economic, legal, ethical and philanthropic responsibilities. Importantly, while Carroll was not defining CSR but simply arguing for classification of activities, Sheehy developed a definition differently following the philosophy of science--the branch of philosophy used for defining phenomena. 
Carroll 1991 extended corporate social responsibility from the traditional economic and legal responsibility to ethical and philanthropic responsibility in response to the rising concerns on ethical issues in businesses, . This view is reflected in the Business Dictionary which defines CSR as ""A company's sense of responsibility towards the community and environment in which it operates. Companies express this citizenship through their waste and pollution reduction processes, by contributing educational and social programs and by earning adequate returns on the employed resources."""
2	Corporate social responsibility: Consumer perspectives	Most consumers agree that while achieving business targets, companies should engage in CSR efforts at the same time. Most consumers believe companies doing charity work will receive a positive response. Somerville also found that consumers are loyal and willing to spend more on retailers that support charity. Consumers also believe that retailers selling local products will gain loyalty. Smith shares the belief that marketing local products will gain consumer trust. However, environmental efforts are receiving negative views given the belief that this would affect customer service. Oppewal et al. found that not all CSR activities are attractive to consumers. They recommended that retailers focus on one activity. Becker-Olsen found that if the social initiative done by the company is not aligned with other company goals it will have a negative impact. Mohr et al. and Groza et al. also emphasise the importance of reaching the consumer.
3	Corporate social responsibility: Approaches	"Some commentators have identified a difference between the Canadian, the Continental European and the Anglo-Saxon approaches to CSR. It is said that for Chinese consumers, a socially responsible company makes safe, high-quality products; for Germans it provides secure employment; in South Africa it makes a positive contribution to social needs such as health care and education. And even within Europe the discussion about CSR is very heterogeneous.A more common approach to CSR is corporate philanthropy. This includes monetary donations and aid given to nonprofit organizations and communities. Donations are made in areas such as the arts, education, housing, health, social welfare and the environment, among others, but excluding political contributions and commercial event sponsorship.Another approach to CSR is to incorporate the CSR strategy directly into operations. For instance, procurement of Fair Trade tea and coffee.
Creating shared value or CSV is based on the idea that corporate success and social welfare are interdependent. A business needs a healthy, educated workforce, sustainable resources and adept government to compete effectively. For society to thrive, profitable and competitive businesses must be developed and supported to create income, wealth, tax revenues and philanthropy. The Harvard Business Review article Strategy & Society: The Link between Competitive Advantage and Corporate Social Responsibility provided examples of companies that have developed deep linkages between their business strategies and CSR. CSV acknowledges trade-offs between short-term profitability and social or environmental goals, but emphasizes the opportunities for competitive advantage from building a social value proposition into corporate strategy. CSV gives the impression that only two stakeholders are important - shareholders and consumers.
Many companies employ benchmarking to assess their CSR policy, implementation and effectiveness. Benchmarking involves reviewing competitor initiatives, as well as measuring and evaluating the impact that those policies have on society and the environment, and how others perceive competitor CSR strategy."
4	Corporate social responsibility: Cost-benefit analysis	"In competitive markets cost-benefit analysis of CSR initiatives can be examined using a resource-based view. According to Barney, ""formulation of the RBV, sustainable competitive advantage requires that resources be valuable, rare, inimitable and non-substitutable."" A firm introducing a CSR-based strategy might only sustain high returns on their investment if their CSR-based strategy could not be copied. However, should competitors imitate such a strategy, that might increase overall social benefits. Firms that choose CSR for strategic financial gain are also acting responsibly.
RBV presumes that firms are bundles of heterogeneous resources and capabilities that are imperfectly mobile across firms. This imperfect mobility can produce competitive advantages for firms that acquire immobile resources. McWilliams and Siegel examined CSR activities and attributes as a differentiation strategy. They concluded that managers can determine the appropriate level of investment in CSR by conducting cost benefit analysis in the same way that they analyze other investments.
Reinhardt found that a firm engaging in a CSR-based strategy could only sustain an abnormal return if it could prevent competitors from imitating its strategy."
5	Corporate social responsibility: Scope	Initially, CSR emphasized the official behaviour of individual firms. Later, it expanded to include supplier behaviour and the uses to which products were put and how they were disposed of after they lost value.
6	Corporate social responsibility: Supply chain	In the 21st century, corporate social responsibility in the supply chain has attracted attention from businesses and stakeholders. Corporations' supply chain is the process by which several organizations including suppliers, customers and logistics providers work together to provide a value package of products and services to the end user, who is the customer.Corporate social irresponsibility in the supply chain has greatly affected the reputation of companies, leading to a lot of cost to solve the problems. For instance, incidents like the 2013 Savar building collapse, which killed over 1000 people, pushed companies to consider the impacts of their operations on society and environment. On the other side, the horse meat scandal of 2013 in the United Kingdom affected many food retailers, including Tesco, the largest retailer in the United Kingdom, leading to the dismissal of the supplier. Corporate social irresponsibility from both the suppliers and the retailers has greatly affected the stakeholders who lost trust for the affected business entities, and despite the fact that sometimes it's not directly undertaken by the companies, they become accountable to the stakeholders. These surrounding issues have prompted supply chain management to consider the corporate social responsibility context. Wieland and Handfield suggested that companies need to include social responsibility in their reviews of component quality. They highlighted the use of technology in improving visibility across the supply chain.
7	Corporate social responsibility: Corporate social initiatives	"Corporate social responsibility includes six types of corporate social initiatives:
Corporate philanthropy: company donations to charity, including cash, goods, and services, sometimes via a corporate foundation
Community volunteering: company-organized volunteer activities, sometimes while an employee receives pay for pro-bono work on behalf of a non-profit organization
Socially-responsible business practices: ethically produced products which appeal to a customer segment
Cause promotions: company-funded advocacy campaigns
Cause-related marketing: donations to charity based on product sales
Corporate social marketing: company-funded behavior-change campaignsAll six of the corporate initiatives are forms of corporate citizenship. However, only some of these CSR activities rise to the level of cause marketing, defined as ""a type of corporate social responsibility in which a company's promotional campaign has the dual purpose of increasing profitability while bettering society.""Companies generally do not have a profit motive when participating in corporate philanthropy and community volunteering. On the other hand, the remaining corporate social initiatives can be examples of cause marketing, in which there is both a societal interest and profit motive."
8	Corporate social responsibility: Implementation	CSR may be based within the human resources, business development or public relations departments of an organisation, or may be a separate unit reporting to the CEO or the board of directors.
9	Corporate social responsibility: Engagement plan	An engagement plan can assist in reaching a desired audience. A corporate social responsibility individual or team plans the goals and objectives of the organization. As with any corporate activity, a defined budget demonstrates commitment and scales the program's relative importance.
