Index	Title	Content
0	Creativity: Summary	"Creativity is a phenomenon whereby something new and somehow valuable is formed. The created item may be intangible or a physical object.
Scholarly interest in creativity is found in a number of disciplines: engineering, psychology, cognitive science, education, philosophy, technology, theology, sociology, linguistics, business studies, songwriting, and economics, covering  the relations between creativity and general intelligence, personality type, mental and neurological processes, mental health, or artificial intelligence; the potential for fostering creativity through education and training; the maximization of creativity for national economic benefit, and the application of creative resources to improve the effectiveness of teaching and learning."
1	Creativity: Etymology	"The lexeme in the English word creativity comes from the Latin term creō ""to create, make"": its derivational suffixes also come from Latin. The word ""create"" appeared in English as early as the 14th century, notably in Chaucer, to indicate divine creation. However, its modern meaning as an act of human creation did not emerge until after the Enlightenment."
2	Creativity: Definition	"In a summary of scientific research into creativity, Michael Mumford suggested: ""Over the course of the last decade, however, we seem to have reached a general agreement that creativity involves the production of novel, useful products"", or, in Robert Sternberg's words, the production of ""something original and worthwhile"". Authors have diverged dramatically in their precise definitions beyond these general commonalities: Peter Meusburger reckons that over a hundred different analyses can be found in the literature. As an illustration, one definition given by Dr. E. Paul Torrance described it as ""a process of becoming sensitive to problems, deficiencies, gaps in knowledge, missing elements, disharmonies, and so on; identifying the difficulty; searching for solutions, making guesses, or formulating hypotheses about the deficiencies: testing and retesting these hypotheses and possibly modifying and retesting them; and finally communicating the results."""
3	Creativity: Aspects	"Theories of creativity have focused on a variety of aspects. The dominant factors are usually identified as ""the four Ps"" — process, product, person, and place. A focus on process is shown in cognitive approaches that try to describe thought mechanisms and techniques for creative thinking. Theories invoking divergent rather than convergent thinking, or those describing the staging of the creative process are primarily theories of creative process. A focus on creative product usually appears in attempts to measure creativity and in creative ideas framed as successful memes. The psychometric approach to creativity reveals that it also involves the ability to produce more.
A focus on the nature of the creative person considers more general intellectual habits, such as openness, levels of ideation, autonomy, expertise, exploratory behavior, and so on. A focus on place considers the circumstances in which creativity flourishes, such as degrees of autonomy, access to resources, and the nature of gatekeepers. Creative lifestyles are characterized by nonconforming attitudes and behaviors as well as flexibility."
4	Creativity: Ancient views	"Most ancient cultures, including thinkers of Ancient Greece, Ancient China, and Ancient India, lacked the concept of creativity, seeing art as a form of discovery and not creation. The ancient Greeks had no terms corresponding to ""to create"" or ""creator"" except for the expression ""poiein"", which only applied to poiesis and to the poietes who made it. Plato did not believe in art as a form of creation. Asked in The Republic, ""Will we say, of a painter, that he makes something?"", he answers, ""Certainly not, he merely imitates.""It is commonly argued that the notion of ""creativity"" originated in Western culture through Christianity, as a matter of divine inspiration. According to the historian Daniel J. Boorstin, ""the early Western conception of creativity was the Biblical story of creation given in the Genesis."" However, this is not creativity in the modern sense, which did not arise until the Renaissance. In the Judaeo-Christian tradition, creativity was the sole province of God; humans were not considered to have the ability to create something new except as an expression of God's work. A concept similar to that of Christianity existed in Greek culture, for instance, Muses were seen as mediating inspiration from the Gods. Romans and Greeks invoked the concept of an external creative ""daemon"" or ""genius"", linked to the sacred or the divine. However, none of these views are similar to the modern concept of creativity, and the individual was not seen as the cause of creation until the Renaissance. It was during the Renaissance that creativity was first seen, not as a conduit for the divine, but from the abilities of ""great men""."
5	Creativity: The Enlightenment and after	"The rejection of creativity in favor of discovery and the belief that individual creation was a conduit of the divine would dominate the West probably until the Renaissance and even later. The development of the modern concept of creativity begins in the Renaissance, when creation began to be perceived as having originated from the abilities of the individual, and not God. This could be attributed to the leading intellectual movement of the time, aptly named humanism, which developed an intensely human-centric outlook on the world, valuing the intellect and achievement of the individual. From this philosophy arose the Renaissance man, an individual who embodies the principals of humanism in their ceaseless courtship with knowledge and creation. One of the most well-known and immensely accomplished examples is Leonardo da Vinci.
However, this shift was gradual and would not become immediately apparent until the Enlightenment. By the 18th century and the Age of Enlightenment, mention of creativity, linked with the concept of imagination, became more frequent. In the writing of Thomas Hobbes, imagination became a key element of human cognition; William Duff was one of the first to identify imagination as a quality of genius, typifying the separation being made between talent and genius.As a direct and independent topic of study, creativity effectively received no attention until the 19th century. Runco and Albert argue that creativity as the subject of proper study began seriously to emerge in the late 19th century with the increased interest in individual differences inspired by the arrival of Darwinism. In particular, they refer to the work of Francis Galton, who through his eugenicist outlook took a keen interest in the heritability of intelligence, with creativity taken as an aspect of genius.In the late 19th and early 20th centuries, leading mathematicians and scientists such as Hermann von Helmholtz and Henri Poincaré began to reflect on and publicly discuss their creative processes."
6	Creativity: Twentieth century to the present day	"The insights of Poincaré and von Helmholtz were built on in early accounts of the creative process by pioneering theorists such as Graham Wallas and Max Wertheimer. In his work Art of Thought, published in 1926, Wallas presented one of the first models of the creative process. In the Wallas stage model, creative insights and illuminations may be explained by a process consisting of 5 stages:

(i) preparation,
(ii) incubation,
(iii) intimation,
(iv) illumination or insight;
(v) verification.Wallas' model is often treated as four stages, with ""intimation"" seen as a sub-stage.
Wallas considered creativity to be a legacy of the evolutionary process, which allowed humans to quickly adapt to rapidly changing environments. Simonton provides an updated perspective on this view in his book, Origins of genius: Darwinian perspectives on creativity.
In 1927, Alfred North Whitehead gave the Gifford Lectures at the University of Edinburgh, later published as Process and Reality. He is credited with having coined the term ""creativity"" to serve as the ultimate category of his metaphysical scheme: ""Whitehead actually coined the term – our term, still the preferred currency of exchange among literature, science, and the arts. . . a term that quickly became so popular, so omnipresent, that its invention within living memory, and by Alfred North Whitehead of all people, quickly became occluded"".The formal psychometric measurement of creativity, from the standpoint of orthodox psychological literature, is usually considered to have begun with J. P. Guilford's 1950 address to the American Psychological Association, which helped popularize the topic and focus attention on a scientific approach to conceptualizing creativity. Statistical analysis led to the recognition of creativity as a separate aspect of human cognition to IQ-type intelligence, into which it had previously been subsumed. Guilford's work suggested that above a threshold level of IQ, the relationship between creativity and classically measured intelligence broke down."
7	"Creativity: ""Four C"" model"	"James C. Kaufman and Beghetto introduced a ""four C"" model of creativity; mini-c, little-c, Pro-C and Big-C. This model was intended to help accommodate models and theories of creativity that stressed competence as an essential component and the historical transformation of a creative domain as the highest mark of creativity. It also, the authors argued, made a useful framework for analyzing creative processes in individuals.The contrast of terms ""Big C"" and ""Little c"" has been widely used. Kozbelt, Beghetto and Runco use a little-c/Big-C model to review major theories of creativity. Margaret Boden distinguishes between h-creativity and p-creativity.Robinson and Anna Craft have focused on creativity in a general population, particularly with respect to education. Craft makes a similar distinction between ""high"" and ""little c"" creativity. and cites Ken Robinson as referring to ""high"" and ""democratic"" creativity. Mihaly Csikszentmihalyi has defined creativity in terms of those individuals judged to have made significant creative, perhaps domain-changing contributions. Simonton has analysed the career trajectories of eminent creative people in order to map patterns and predictors of creative productivity."
8	Creativity: Theories of creative processes	There has been much empirical study in psychology and cognitive science of the processes through which creativity occurs. Interpretation of the results of these studies has led to several possible explanations of the sources and methods of creativity.
9	Creativity: Incubation	"Incubation is a temporary break from creative problem solving that can result in insight. There has been some empirical research looking at whether, as the concept of ""incubation"" in Wallas' model implies, a period of interruption or rest from a problem may aid creative problem-solving. Ward lists various hypotheses that have been advanced to explain why incubation may aid creative problem-solving, and notes how some empirical evidence is consistent with the hypothesis that incubation aids creative problem-solving in that it enables ""forgetting"" of misleading clues. Absence of incubation may lead the problem solver to become fixated on inappropriate strategies of solving the problem. This work disputes the earlier hypothesis that creative solutions to problems arise mysteriously from the unconscious mind while the conscious mind is occupied on other tasks. 
This earlier hypothesis is discussed in Csikszentmihalyi's five phase model of the creative process which describes incubation as a time that your unconscious takes over. This allows for unique connections to be made without your consciousness trying to make logical order out of the problem."
