Index	Title	Content
0	Emotional intelligence: Summary	"Emotional intelligence, also known as Emotional quotient and Emotional Intelligence Quotient, is the capability of individuals to recognize their own emotions and those of others, discern between different feelings and label them appropriately, use emotional information to guide thinking and behavior, and manage and/or adjust emotions to adapt to environments or achieve one's goal(s).Although the term first appeared in a 1964 paper by Michael Beldoch, it gained popularity in the 1995 book by that title, written by author and science journalist Daniel Goleman. Since this time, Goleman's 1995 analysis of EI has been criticized within the scientific community, despite prolific reports of its usefulness in the popular press.Empathy is typically associated with EI, because it relates to an individual connecting their personal experiences with those of others. However, a number of models exist that aim to measure levels of EI. There are currently several models of EI. Goleman's original model may now be considered a mixed model that combines what has since been modeled separately as ability EI and trait EI. Goleman defined EI as the array of skills and characteristics that drive leadership performance.  The trait model was developed by Konstantin Vasily Petrides in 2001.  It ""encompasses behavioral dispositions and self perceived abilities and is measured through self report"". The ability model, developed by Peter Salovey and John Mayer in 2004, focuses on the individual's ability to process emotional information and use it to navigate the social environment.Studies have shown that people with high EI have greater mental health, job performance, and leadership skills although no causal relationships have been shown and such findings are likely to be attributable to general intelligence and specific personality traits rather than emotional intelligence as a construct. For example, Goleman indicated that EI accounted for 67% of the abilities deemed necessary for superior performance in leaders, and mattered twice as much as technical expertise or IQ. Other research finds that the effect of EI on leadership and managerial performance is non-significant when ability and personality are controlled for, and that general intelligence correlates very closely with leadership. Markers of EI and methods of developing it have become more widely coveted in the past decade. In addition, studies have begun to provide evidence to help characterize the neural mechanisms of emotional intelligence.Criticisms have centered on whether EI is a real intelligence and whether it has incremental validity over IQ and the Big Five personality traits."
1	Emotional intelligence: History	"The term ""emotional intelligence"" seems first to have appeared in a 1964 paper by Michael Beldoch, and in the 1966 paper by B. Leuner entitled Emotional intelligence and emancipation which appeared in the psychotherapeutic journal: Practice of child psychology and child psychiatry.In 1983, Howard Gardner's Frames of Mind: The Theory of Multiple Intelligences introduced the idea that traditional types of intelligence, such as IQ, fail to fully explain cognitive ability. He introduced the idea of multiple intelligences which included both interpersonal intelligence and intrapersonal intelligence.The term subsequently appeared in Wayne Payne's doctoral thesis, A Study of Emotion: Developing Emotional Intelligence from 1985.The first published use of the term 'EQ' is an article by Keith Beasley in 1987 in the British Mensa magazine.In 1989 Stanley Greenspan put forward a model to describe EI, followed by another by Peter Salovey and John Mayer published in the following year.However, the term became widely known with the publication of Goleman's book: Emotional Intelligence – Why it can matter more than IQ. It is to this book's best-selling status that the term can attribute its popularity. Goleman has followed up with several further popular publications of a similar theme that reinforce use of the term.
To date, tests measuring EI have not replaced IQ tests as a standard metric of intelligence. Emotional Intelligence has also received criticism on its role in leadership and business success.The distinction between trait emotional intelligence and ability emotional intelligence was introduced in 2000."
2	Emotional intelligence: Definitions	"Emotional intelligence can be defined as the ability to monitor one's own and other people's emotions, to discriminate between different emotions and label them appropriately, and to use emotional information to guide thinking and behavior. Emotional intelligence also reflects abilities to join intelligence, empathy and emotions to enhance thought and understanding of interpersonal dynamics. However, substantial disagreement exists regarding the definition of EI, with respect to both terminology and operationalizations. Currently, there are three main models of EI:

Ability model
Mixed model
Trait modelDifferent models of EI have led to the development of various instruments for the assessment of the construct. While some of these measures may overlap, most researchers agree that they tap different constructs.
Specific ability models address the ways in which emotions facilitate thought and understanding. For example, emotions may interact with thinking and allow people to be better decision makers. A  person who is more responsive emotionally to crucial issues will attend to the more crucial aspects of his or her life. Aspects of  emotional  facilitation factor is to also know how  to include or exclude emotions from thought depending on context and situation. This is also related to emotional reasoning and understanding in response to the people, environment and circumstances one encounters in his or her day-to-day life."
3	Emotional intelligence: Ability model	"Salovey and Mayer's conception of EI strives to define EI within the confines of the standard criteria for a new intelligence. Following their continuing research, their initial definition of EI was revised to ""The ability to perceive emotion, integrate emotion to facilitate thought, understand emotions and to regulate emotions to promote personal growth."" However, after pursuing further research, their definition of EI evolved into ""the capacity to reason about emotions, and of emotions, to enhance thinking. It includes the abilities to accurately perceive emotions, to access and generate emotions so as to assist thought, to understand emotions and emotional knowledge, and to reflectively regulate emotions so as to promote emotional and intellectual growth."" The ability-based model views emotions as useful sources of information that help one to make sense of and navigate the social environment. The model proposes that individuals vary in their ability to process information of an emotional nature and in their ability to relate emotional processing to a wider cognition. This ability is seen to manifest itself in certain adaptive behaviors. The model claims that EI includes four types of abilities:

Perceiving emotions – the ability to detect and decipher emotions in faces, pictures, voices, and cultural artifacts—including the ability to identify one's own emotions. Perceiving emotions represents a basic aspect of emotional intelligence, as it makes all other processing of emotional information possible.
Using emotions – the ability to harness emotions to facilitate various cognitive activities, such as thinking and problem solving. The emotionally intelligent person can capitalize fully upon his or her changing moods in order to best fit the task at hand.
Understanding emotions – the ability to comprehend emotion language and to appreciate complicated relationships among emotions. For example, understanding emotions encompasses the ability to be sensitive to slight variations between emotions, and the ability to recognize and describe how emotions evolve over time.
Managing emotions – the ability to regulate emotions in both ourselves and in others. Therefore, the emotionally intelligent person can harness emotions, even negative ones, and manage them to achieve intended goals.The ability EI model has been criticized in the research for lacking face and predictive validity in the workplace. However, in terms of construct validity, ability EI tests have great advantage over self-report scales of EI because they compare individual maximal performance to standard performance scales and do not rely on individuals' endorsement of descriptive statements about themselves."
4	Emotional intelligence: Measurement	"The current measure of Mayer and Salovey's model of EI, the Mayer-Salovey-Caruso Emotional Intelligence Test is based on a series of emotion-based problem-solving items. Consistent with the model's claim of EI as a type of intelligence, the test is modeled on ability-based IQ tests. By testing a person's abilities on each of the four branches of emotional intelligence, it generates scores for each of the branches as well as a total score.
Central to the four-branch model is the idea that EI requires attunement to social norms. Therefore, the MSCEIT is scored in a consensus fashion, with higher scores indicating higher overlap between an individual's answers and those provided by a worldwide sample of respondents. The MSCEIT can also be expert-scored, so that the amount of overlap is calculated between an individual's answers and those provided by a group of 21 emotion researchers.Although promoted as an ability test, the MSCEIT is unlike standard IQ tests in that its items do not have objectively correct responses. Among other challenges, the consensus scoring criterion means that it is impossible to create items that only a minority of respondents can solve, because, by definition, responses are deemed emotionally ""intelligent"" only if the majority of the sample has endorsed them. This and other similar problems have led some cognitive ability experts to question the definition of EI as a genuine intelligence.In a study by Føllesdal, the MSCEIT test results of 111 business leaders were compared with how their employees described their leader. It was found that there were no correlations between a leader's test results and how he or she was rated by the employees, with regard to empathy, ability to motivate, and leader effectiveness. Føllesdal also criticized the Canadian company Multi-Health Systems, which administers the MSCEIT test. The test contains 141 questions but it was found after publishing the test that 19 of these did not give the expected answers. This has led Multi-Health Systems to remove answers to these 19 questions before scoring but without stating this officially."
5	Emotional intelligence: Other measurements	"Various other specific measures have also been used to assess ability in emotional intelligence. These measures include:

Diagnostic Analysis of Non-verbal Accuracy – The Adult Facial version includes  24 photographs of equal amount of happy, sad, angry, and fearful facial expressions of both high and low intensities which are balanced by gender. The tasks of the participants is to answer which of the four emotions is present in the given stimuli.
Japanese and Caucasian Brief Affect Recognition test – Participants try to identify 56 faces of Caucasian and Japanese individuals expressing seven emotions such happiness, contempt, disgust, sadness, anger, surprise, and fear, which may also trail  off for 0.2 seconds to a different emotion.
Levels of Emotional Awareness Scale – Participants reads 26 social scenes and answers their anticipated feelings and continuum of low to high emotional awareness."
6	Emotional intelligence: Mixed model	"The model introduced by Daniel Goleman focuses on EI as a wide array of competencies and skills that drive leadership performance. Goleman's model outlines five main EI constructs:

Self-awareness – the ability to know one's emotions, strengths, weaknesses, drives, values and goals and recognize their impact on others while using gut feelings to guide decisions.
Self-regulation – involves controlling or redirecting one's disruptive emotions and impulses and adapting to changing circumstances.
Social skill – managing relationships to move people in the desired direction
Empathy – considering other people's feelings especially when making decisions
Motivation – being driven to achieve for the sake of achievementGoleman includes a set of emotional competencies within each construct of EI. Emotional competencies are not innate talents, but rather learned capabilities that must be worked on and can be developed to achieve outstanding performance. Goleman posits that individuals are born with a general emotional intelligence that determines their potential for learning emotional competencies. Goleman's model of EI has been criticized in the research literature as mere ""pop psychology""."
7	Emotional intelligence: Measurement	"The current measure of Mayer and Salovey's model of EI, the Mayer-Salovey-Caruso Emotional Intelligence Test is based on a series of emotion-based problem-solving items. Consistent with the model's claim of EI as a type of intelligence, the test is modeled on ability-based IQ tests. By testing a person's abilities on each of the four branches of emotional intelligence, it generates scores for each of the branches as well as a total score.
Central to the four-branch model is the idea that EI requires attunement to social norms. Therefore, the MSCEIT is scored in a consensus fashion, with higher scores indicating higher overlap between an individual's answers and those provided by a worldwide sample of respondents. The MSCEIT can also be expert-scored, so that the amount of overlap is calculated between an individual's answers and those provided by a group of 21 emotion researchers.Although promoted as an ability test, the MSCEIT is unlike standard IQ tests in that its items do not have objectively correct responses. Among other challenges, the consensus scoring criterion means that it is impossible to create items that only a minority of respondents can solve, because, by definition, responses are deemed emotionally ""intelligent"" only if the majority of the sample has endorsed them. This and other similar problems have led some cognitive ability experts to question the definition of EI as a genuine intelligence.In a study by Føllesdal, the MSCEIT test results of 111 business leaders were compared with how their employees described their leader. It was found that there were no correlations between a leader's test results and how he or she was rated by the employees, with regard to empathy, ability to motivate, and leader effectiveness. Føllesdal also criticized the Canadian company Multi-Health Systems, which administers the MSCEIT test. The test contains 141 questions but it was found after publishing the test that 19 of these did not give the expected answers. This has led Multi-Health Systems to remove answers to these 19 questions before scoring but without stating this officially."
8	Emotional intelligence: Trait model	"Konstantinos Vasilis Petrides proposed a conceptual distinction between the ability based model and a trait based model of EI and has been developing the latter over many years in numerous publications. Trait EI is ""a constellation of emotional self-perceptions located at the lower levels of personality."" In lay terms, trait EI refers to an individual's self-perceptions of their emotional abilities. This definition of EI encompasses behavioral dispositions and self-perceived abilities and is measured by self report, as opposed to the ability based model which refers to actual abilities, which have proven highly resistant to scientific measurement. Trait EI should be investigated within a personality framework. An alternative label for the same construct is trait emotional self-efficacy.
The trait EI model is general and subsumes the Goleman model discussed above. The conceptualization of EI as a personality trait leads to a construct that lies outside the taxonomy of human cognitive ability. This is an important distinction in as much as it bears directly on the operationalization of the construct and the theories and hypotheses that are formulated about it."
9	Emotional intelligence: Measurement	"The current measure of Mayer and Salovey's model of EI, the Mayer-Salovey-Caruso Emotional Intelligence Test is based on a series of emotion-based problem-solving items. Consistent with the model's claim of EI as a type of intelligence, the test is modeled on ability-based IQ tests. By testing a person's abilities on each of the four branches of emotional intelligence, it generates scores for each of the branches as well as a total score.
Central to the four-branch model is the idea that EI requires attunement to social norms. Therefore, the MSCEIT is scored in a consensus fashion, with higher scores indicating higher overlap between an individual's answers and those provided by a worldwide sample of respondents. The MSCEIT can also be expert-scored, so that the amount of overlap is calculated between an individual's answers and those provided by a group of 21 emotion researchers.Although promoted as an ability test, the MSCEIT is unlike standard IQ tests in that its items do not have objectively correct responses. Among other challenges, the consensus scoring criterion means that it is impossible to create items that only a minority of respondents can solve, because, by definition, responses are deemed emotionally ""intelligent"" only if the majority of the sample has endorsed them. This and other similar problems have led some cognitive ability experts to question the definition of EI as a genuine intelligence.In a study by Føllesdal, the MSCEIT test results of 111 business leaders were compared with how their employees described their leader. It was found that there were no correlations between a leader's test results and how he or she was rated by the employees, with regard to empathy, ability to motivate, and leader effectiveness. Føllesdal also criticized the Canadian company Multi-Health Systems, which administers the MSCEIT test. The test contains 141 questions but it was found after publishing the test that 19 of these did not give the expected answers. This has led Multi-Health Systems to remove answers to these 19 questions before scoring but without stating this officially."
