Index	Title	Content
0	Leadership: Summary	"Leadership is both a research area and a practical skill encompassing the ability of an individual or organization to ""lead"" or guide other individuals, teams, or entire organizations. Specialist literature debates various viewpoints, contrasting Eastern and Western approaches to leadership, and also United States versus European approaches. U.S. academic environments define leadership as ""a process of social influence in which a person can enlist the aid and support of others in the accomplishment of a common task"". Leadership seen from a European and non-academic perspective encompasses a view of a leader who can be moved not only by communitarian goals but also by the search for personal power.Studies of leadership have produced theories involving traits, situational interaction, function, behavior, power, vision and values, charisma, and intelligence, among others."
1	Leadership: Historical views	"Sanskrit literature identifies ten types of leaders. Defining characteristics of the ten types of leaders are explained with examples from history and mythology.Aristocratic thinkers have postulated that leadership depends on one's ""blue blood"" or genes. Monarchy takes an extreme view of the same idea, and may prop up its assertions against the claims of mere aristocrats by invoking divine sanction. Contrariwise, more democratically inclined theorists have pointed to examples of meritocratic leaders, such as the Napoleonic marshals profiting from careers open to talent.In the autocratic/paternalistic strain of thought, traditionalists recall the role of leadership of the Roman pater familias. Feminist thinking, on the other hand, may object to such models as patriarchal and posit against them emotionally attuned, responsive, and consensual empathetic guidance, which is sometimes associated with matriarchies.Comparable to the Roman tradition, the views of Confucianism on ""right living"" relate very much to the ideal of the scholar-leader and his benevolent rule, buttressed by a tradition of filial piety.

Leadership is a matter of intelligence, trustworthiness, humaneness, courage, and discipline ... Reliance on intelligence alone results in rebelliousness. Exercise of humaneness alone results in weakness. Fixation on trust results in folly. Dependence on the strength of courage results in violence. Excessive discipline and sternness in command result in cruelty. When one has all five virtues together, each appropriate to its function, then one can be a leader. — Sun Tzu
Machiavelli's The Prince, written in the early 16th century, provided a manual for rulers to gain and keep power.In the 19th century the elaboration of anarchist thought called the whole concept of leadership into question. One response to this denial of élitism came with Leninism, which demanded an élite group of disciplined cadres to act as the vanguard of a socialist revolution, bringing into existence the dictatorship of the proletariat.
Other historical views of leadership have addressed the seeming contrasts between secular and religious leadership. The doctrines of Caesaro-papism have recurred and had their detractors over several centuries. Christian thinking on leadership has often emphasized stewardship of divinely provided resources—human and material—and their deployment in accordance with a Divine plan. Compare servant leadership.For a more general take on leadership in politics, compare the concept of the statesperson."
2	Leadership: Early western history	"The search for the characteristics or traits of leaders has continued for centuries. Philosophical writings from Plato's Republic to Plutarch's Lives have explored the question ""What qualities distinguish an individual as a leader?"" Underlying this search was the early recognition of the importance of leadership and the assumption that leadership is rooted in the characteristics that certain individuals possess. This idea that leadership is based on individual attributes is known as the ""trait theory of leadership"".
A number of works in the 19th century – when the traditional authority of monarchs, lords and bishops had begun to wane – explored the trait theory at length: note especially the writings of Thomas Carlyle and of Francis Galton, whose works have prompted decades of research. In Heroes and Hero Worship, Carlyle identified the talents, skills, and physical characteristics of men who rose to power. Galton's Hereditary Genius examined leadership qualities in the families of powerful men. After showing that the numbers of eminent relatives dropped off when his focus moved from first-degree to second-degree relatives, Galton concluded that leadership was inherited. In other words, leaders were born, not developed. Both of these notable works lent great initial support for the notion that leadership is rooted in characteristics of a leader.
Cecil Rhodes believed that public-spirited leadership could be nurtured by identifying young people with ""moral force of character and instincts to lead"", and educating them in contexts which further developed such characteristics. International networks of such leaders could help to promote international understanding and help ""render war impossible"". This vision of leadership underlay the creation of the Rhodes Scholarships, which have helped to shape notions of leadership since their creation in 1903."
3	Leadership: Rise of alternative theories	In the late 1940s and early 1950s, a series of qualitative reviews of these studies prompted researchers to take a drastically different view of the driving forces behind leadership. In reviewing the extant literature, Stogdill and Mann found that while some traits were common across a number of studies, the overall evidence suggested that persons who are leaders in one situation may not necessarily be leaders in other situations. Subsequently, leadership was no longer characterized as an enduring individual trait, as situational approaches posited that individuals can be effective in certain situations, but not others. The focus then shifted away from traits of leaders to an investigation of the leader behaviors that were effective. This approach dominated much of the leadership theory and research for the next few decades
4	Leadership: Reemergence of trait theory	"New methods and measurements were developed after these influential reviews that would ultimately reestablish trait theory as a viable approach to the study of leadership. For example, improvements in researchers' use of the round robin research design methodology allowed researchers to see that individuals can and do emerge as leaders across a variety of situations and tasks. Additionally, during the 1980s statistical advances allowed researchers to conduct meta-analyses, in which they could quantitatively analyze and summarize the findings from a wide array of studies. This advent allowed trait theorists to create a comprehensive picture of previous leadership research rather than rely on the qualitative reviews of the past. Equipped with new methods, leadership researchers revealed the following:

Individuals can and do emerge as leaders across a variety of situations and tasks.
Significant relationships exist between leadership emergence and such individual traits as:Intelligence
Adjustment
Extraversion
Conscientiousness
Openness to experience
General self-efficacyWhile the trait theory of leadership has certainly regained popularity, its reemergence has not been accompanied by a corresponding increase in sophisticated conceptual frameworks.Specifically, Zaccaro noted that trait theories still:

Focus on a small set of individual attributes such as ""The Big Five"" personality traits, to the neglect of cognitive abilities, motives, values, social skills, expertise, and problem-solving skills.
Fail to consider patterns or integrations of multiple attributes.
Do not distinguish between the leadership attributes that are generally not malleable over time and those that are shaped by, and bound to, situational influences.
Do not consider how stable leader attributes account for the behavioral diversity necessary for effective leadership."
5	Leadership: Attribute pattern approach	Considering the criticisms of the trait theory outlined above, several researchers have begun to adopt a different perspective of leader individual differences—the leader attribute pattern approach. In contrast to the traditional approach, the leader attribute pattern approach is based on theorists' arguments that the influence of individual characteristics on outcomes is best understood by considering the person as an integrated totality rather than a summation of individual variables. In other words, the leader attribute pattern approach argues that integrated constellations or combinations of individual differences may explain substantial variance in both leader emergence and leader effectiveness beyond that explained by single attributes, or by additive combinations of multiple attributes..
6	Leadership: Behavioral and style theories	"In response to the early criticisms of the trait approach, theorists began to research leadership as a set of behaviors, evaluating the behavior of successful leaders, determining a behavior taxonomy, and identifying broad leadership styles. David McClelland, for example, posited that leadership takes a strong personality with a well-developed positive ego. To lead, self-confidence and high self-esteem are useful, perhaps even essential.

Kurt Lewin, Ronald Lipitt, and Ralph White developed in 1939 the seminal work on the influence of leadership styles and performance. The researchers evaluated the performance of groups of eleven-year-old boys under different types of work climate. In each, the leader exercised his influence regarding the type of group decision making, praise and criticism, and the management of the group tasks according to three styles: authoritarian, democratic, and laissez-faire.In 1945, Ohio State University conducted a study which investigated observable behaviors portrayed by effective leaders, They would then identify if these particular behaviors reflective in leadership effectiveness. They were able to narrow their findings to two identifiable distinctions  The first dimension was identified as ""Initiating Structure"", which described how a leader clearly and accurately communicates with their followers, defines goals, and determine how tasks are performed. These are considered ""task oriented"" behaviors The second dimension is ""Consideration"", which indicates the leader's ability to build an interpersonal relationship with their followers, to establish a form of mutual trust. These are considered ""social oriented"" behaviors.The Michigan State Studies, which were conducted in the 1950s, made further investigations and findings that positively correlated behaviors and leadership effectiveness. Although they similar findings as the Ohio State studies, they did contribute an additional behavior identified in leaders. This was participative behavior; allowing the followers to participate in group decision making and encouraged subordinate input. Another term used to describe this is ""Servant Leadership"", which entails the leader to reject a more controlling type of leadership and allow more personal interaction between themselves and their subordinates.The managerial grid model is also based on a behavioral theory. The model was developed by Robert Blake and Jane Mouton in 1964 and suggests five different leadership styles, based on the leaders' concern for people and their concern for goal achievement."
7	Leadership: Situational and contingency theories	"Situational theory also appeared as a reaction to the trait theory of leadership. Social scientists argued that history was more than the result of intervention of great men as Carlyle suggested. Herbert Spencer said that the times produce the person and not the other way around. This theory assumes that different situations call for different characteristics; according to this group of theories, no single optimal psychographic profile of a leader exists. According to the theory, ""what an individual actually does when acting as a leader is in large part dependent upon characteristics of the situation in which he functions.""Some theorists started to synthesize the trait and situational approaches. Building upon the research of Lewin et al., academics began to normalize the descriptive models of leadership climates, defining three leadership styles and identifying which situations each style works better in. The authoritarian leadership style, for example, is approved in periods of crisis but fails to win the ""hearts and minds"" of followers in day-to-day management; the democratic leadership style is more adequate in situations that require consensus building; finally, the laissez-faire leadership style is appreciated for the degree of freedom it provides, but as the leaders do not ""take charge"", they can be perceived as a failure in protracted or thorny organizational problems. Thus, theorists defined the style of leadership as contingent to the situation, which is sometimes classified as contingency theory. Four contingency leadership theories appear more prominently in recent years: Fiedler contingency model, Vroom-Yetton decision model, the path-goal theory, and the Hersey-Blanchard situational theory.
The Fiedler contingency model bases the leader's effectiveness on what Fred Fiedler called situational contingency. This results from the interaction of leadership style and situational favorability. The theory defined two types of leader: those who tend to accomplish the task by developing good relationships with the group, and those who have as their prime concern carrying out the task itself. According to Fiedler, there is no ideal leader. Both task-oriented and relationship-oriented leaders can be effective if their leadership orientation fits the situation. When there is a good leader-member relation, a highly structured task, and high leader position power, the situation is considered a ""favorable situation"". Fiedler found that task-oriented leaders are more effective in extremely favorable or unfavorable situations, whereas relationship-oriented leaders perform best in situations with intermediate favorability.
Victor Vroom, in collaboration with Phillip Yetton and later with Arthur Jago, developed a taxonomy for describing leadership situations, which was used in a normative decision model where leadership styles were connected to situational variables, defining which approach was more suitable to which situation. This approach was novel because it supported the idea that the same manager could rely on different group decision making approaches depending on the attributes of each situation. This model was later referred to as situational contingency theory.The path-goal theory of leadership was developed by Robert House and was based on the expectancy theory of Victor Vroom. According to House, the essence of the theory is ""the meta proposition that leaders, to be effective, engage in behaviors that complement subordinates' environments and abilities in a manner that compensates for deficiencies and is instrumental to subordinate satisfaction and individual and work unit performance"". The theory identifies four leader behaviors, achievement-oriented, directive, participative, and supportive, that are contingent to the environment factors and follower characteristics. In contrast to the Fiedler contingency model, the path-goal model states that the four leadership behaviors are fluid, and that leaders can adopt any of the four depending on what the situation demands. The path-goal model can be classified both as a contingency theory, as it depends on the circumstances, and as a transactional leadership theory, as the theory emphasizes the reciprocity behavior between the leader and the followers.
The Situational Leadership® Model proposed by Hersey suggests four leadership-styles and four levels of follower-development. For effectiveness, the model posits that the leadership-style must match the appropriate level of follower-development. In this model, leadership behavior becomes a function not only of the characteristics of the leader, but of the characteristics of followers as well."
8	Leadership: Functional theory	"Functional leadership theory is a particularly useful theory for addressing specific leader behaviors expected to contribute to organizational or unit effectiveness. This theory argues that the leader's main job is to see that whatever is necessary to group needs is taken care of; thus, a leader can be said to have done their job well when they have contributed to group effectiveness and cohesion. While functional leadership theory has most often been applied to team leadership, it has also been effectively applied to broader organizational leadership as well. In summarizing literature on functional leadership (see Kozlowski et al., Zaccaro et al., Hackman and Walton, Hackman & Wageman, Morgeson, Klein, Zeigert, Knight, and Xiao observed five broad functions a leader performs when promoting organization's effectiveness. These functions include environmental monitoring, organizing subordinate activities, teaching and coaching subordinates, motivating others, and intervening actively in the group's work.
A variety of leadership behaviors are expected to facilitate these functions. In initial work identifying leader behavior, Fleishman observed that subordinates perceived their supervisors' behavior in terms of two broad categories referred to as consideration and initiating structure. Consideration includes behavior involved in fostering effective relationships. Examples of such behavior would include showing concern for a subordinate or acting in a supportive manner towards others. Initiating structure involves the actions of the leader focused specifically on task accomplishment. This could include role clarification, setting performance standards, and holding subordinates accountable to those standards."
9	Leadership: Integrated psychological theory	"The Integrated Psychological theory of leadership is an attempt to integrate the strengths of the older theories while addressing their limitations, largely by introducing a new element – the need for leaders to develop their leadership presence, attitude toward others and behavioral flexibility by practicing psychological mastery. It also offers a foundation for leaders wanting to apply the philosophies of servant leadership and authentic leadership.Integrated Psychological theory began to attract attention after the publication of James Scouller's Three Levels of Leadership model.
Scouller argued that the older theories offer only limited assistance in developing a person's ability to lead effectively.
He pointed out, for example, that:

Traits theories, which tend to reinforce the idea that leaders are born not made, might help us select leaders, but they are less useful for developing leaders.
An ideal style would not suit all circumstances.
Most of the situational/contingency and functional theories assume that leaders can change their behavior to meet differing circumstances or widen their behavioral range at will, when in practice many find it hard to do so because of unconscious beliefs, fears or ingrained habits. Thus, he argued, leaders need to work on their inner psychology.
None of the old theories successfully address the challenge of developing ""leadership presence""; that certain ""something"" in leaders that commands attention, inspires people, wins their trust and makes followers want to work with them.Scouller proposed the Three Levels of Leadership model, which was later categorized as an ""Integrated Psychological"" theory on the Businessballs education website. In essence, his model aims to summarize what leaders have to do, not only to bring leadership to their group or organization, but also to develop themselves technically and psychologically as leaders.
The three levels in his model are Public, Private and Personal leadership:

The first two – public and private leadership – are ""outer"" or behavioral levels. These are the behaviors that address what Scouller called ""the four dimensions of leadership"". These dimensions are: a shared, motivating group purpose; action, progress and results; collective unity or team spirit; individual selection and motivation. Public leadership focuses on the 34 behaviors involved in influencing two or more people simultaneously. Private leadership covers the 14 behaviors needed to influence individuals one to one.
The third – personal leadership – is an ""inner"" level and concerns a person's growth toward greater leadership presence, knowhow and skill. Working on one's personal leadership has three aspects: Technical knowhow and skill Developing the right attitude toward other people – which is the basis of servant leadership Psychological self-mastery – the foundation for authentic leadership.Scouller argued that self-mastery is the key to growing one's leadership presence, building trusting relationships with followers and dissolving one's limiting beliefs and habits, thereby enabling behavioral flexibility as circumstances change, while staying connected to one's core values. To support leaders' development, he introduced a new model of the human psyche and outlined the principles and techniques of self-mastery, which include the practice of mindfulness meditation."
