Index	Title	Content
0	Management consulting: Summary	"Management consulting is the practice of helping organizations to improve their performance, operating primarily through the analysis of existing organizational problems and the development of plans for improvement. Organizations may draw upon the services of management consultants for a number of reasons, including gaining external advice and access to the consultants' specialized expertise.
As a result of their exposure to, and relationships with numerous organizations, consulting firms are typically aware of industry ""best practices."" However, the specific nature of situations under consideration may limit the ability to transfer such practices from one organization to another.
Consultancies may also provide organizational change management assistance, development of coaching skills, process analysis, technology implementation, strategy development, or operational improvement services.  Management consultants often bring their own proprietary methodologies or frameworks to guide the identification of problems, and to serve as the basis for recommendations for more effective or efficient ways of performing work tasks."
1	Management consulting: History	"Management consulting grew with the rise of management, as a unique field of study.  One of the first management consulting firms was Arthur D. Little Inc., founded in 1886 as a partnership, and later incorporated in 1909.  Though Arthur D. Little later became a general management consultancy, it originally specialised in technical research.
As Arthur D. Little focused on technical research for the first few years, the first management consultancy was started by Frederick Winslow Taylor, who in 1893 opened an independent consulting practice in Philadelphia. His business card read ""Consulting Engineer – Systematizing Shop Management and Manufacturing Costs a Specialty"".  By inventing Scientific Management, also known as Taylor's method, Frederick Winslow Taylor invented the first method of organizing work, spawning the careers of many more management consultants.   One of Taylor's early collaborators, Morris Llewellyn Cooke, for example, opened his own management consultancy in 1905.  Taylor's method was used worldwide until industry switched to a method invented by W. Edwards Deming.The initial period of growth in the consulting industry was triggered by the Glass-Steagall Banking Act in the 1930s, and was driven by demand for advice on finance, strategy, and organization. From the 1950s onwards consultancies not only expanded their activities considerably in the United States but also opened offices in Europe and later in Asia and South America. After World War II, a number of new management consulting firms formed, bringing a rigorous analytical approach to the study of management and strategy. The postwar years also saw the application cybernetics principles to management through the work of Stafford Beer.
The industry experienced significant growth in the 1980s and 1990s, gaining considerable importance in relation to national gross domestic product. In 1980 there were only five consulting firms with more than 1,000 consultants worldwide, whereas by the 1990s there were more than thirty firms of this size.A period of significant growth in the early 1980s was driven by demand for strategy and organization consultancies. The wave of growth in the 1990s was driven by both strategy and information technology advice. In the second half of the 1980s, the big accounting firms entered the IT consulting segment. The then Big Eight, now Big Four, accounting firms had always offered advice in addition to their traditional services, but from the late 1980s onward these activities became increasingly important in relation to the maturing market of accounting and auditing. By the mid-1990s these firms had outgrown those service providers focusing on corporate strategy and organization. While three of the Big Four legally divided the different service lines after the Enron scandals and the ensuing breakdown of Arthur Andersen, they are now back in the consulting business. In 2000, Andersen Consulting broke off from Arthur Andersen and announced their new name: Accenture. The name change was effective starting January 1, 2001 and Accenture is currently one of the largest consulting firms in the world. They are publicly traded on the NYSE with ticker ACN.The industry stagnated in 2001 before recovering after 2003, with a current trend towards a clearer segmentation of management consulting firms. In recent years, management consulting firms actively recruit top graduates from Ivy League universities, Rhodes Scholars, and students from top MBA programs.
In more recent times, traditional management consulting firms have had to face increasing challenges from disruptive online marketplaces that are aiming to cater to the increasing number of freelance management consulting professionals."
2	Management consulting: Function	"The functions of consulting services are commonly broken down into eight task categories. Consultants can function as bridges for information and knowledge, and that external consultants can provide these bridging services more economically than client firms themselves. Consultants can be engaged proactively, without significant external enforcement, and reactively, with external pressure. Proactive consultant engagement is engaged mainly with aim to find hidden weakspots and improve performance, while the reactive consultant engagement is mostly aimed at solving problems identified by external stakeholders.
Marvin Bower, McKinsey's long-term director, has mentioned the benefits of a consultant's externality, that they have varied experience outside the client company.Consultants have specialised skills on tasks that would involve high internal coordination costs for clients, such as organization-wide changes or the implementation of information technology. In addition, because of economies of scale, their focus and experience in gathering information worldwide and across industries renders their information search less costly than for clients."
3	Management consulting: Approaches	"In general, various approaches to consulting can be thought of as lying somewhere along a continuum, with an 'expert' or prescriptive approach at one end, and a facilitative approach at the other.  In the expert approach, the consultant takes the role of expert, and provides expert advice or assistance to the client, with, compared to the facilitative approach, less input from, and fewer collaborations with the client(s).  With a facilitative approach, the consultant focuses less on specific or technical expert knowledge, and more on the process of consultation itself.  Because of this focus on process, a facilitative approach is also often referred to as 'process consulting,' with Edgar Schein being considered in America as the best-known practitioner.  The consulting firms listed above are closer toward the expert approach of this continuum.
Many consulting firms are organized in a structured matrix, where one 'axis' describes a business function or type of consulting: for example, strategy, operations, technology, executive leadership, process improvement, talent management, sales, etc.  The second axis is an industry  focus: for example, oil and gas, retail, automotive. Together, these form a matrix, with consultants occupying one or more 'cells' in the matrix.  For example, one consultant may specialize in operations for the retail industry, and another may focus on process improvement in the downstream oil and gas industry."
4	Management consulting: Specialization	"Management consulting refers generally to the provision of business services, but there are numerous specialties such as strategic management, information technology consulting, human resource consulting, financial consulting, virtual management consulting, design, operations management consulting, engineering management, management science, and others, many of which overlap, and most of which are offered by the larger diversified consultancies.  So-called ""boutique"" consultancies, however, are smaller organizations focusing upon a few of such specialties.
The 1990s saw an increase in what has been termed a 'future-based' approach.  This emphasized language and alignment of people within an organization to a common vision of the future of the organization, as set out in the book Three Laws of Performance. The essential concept here was that the way people perform is seen to correlate to the way that world occurs for them, and that future-based language could alter the way the future actually occurs for them. These principles were increasingly employed in organizations that had experienced a market transition or a merger requiring the blending of two corporate cultures. However, towards the end of the 1990s the approach declined due to a perception that the concept outlined in this book did not in practice offer added value to organizations."
5	Management consulting: Current state of the industry	"Management consulting has grown quickly, with growth rates of the industry exceeding 20% in the 1980s and 1990s.  As a business service, consulting remains highly cyclical and linked to overall economic conditions.  The consulting industry shrank during the 2001–2003 period, but grew steadily until the recent economic downturn in 2009. Since then the market has stabilized.
Increasingly, management consultancy firms are being challenged by disruptive technologies which facilitate work for ex-management consulting freelancers.
As of December 2016, revenues grossed $229.9B with profits of $26.2B. Annual growth from 2011-2016 is expected to increase at a rate of 5.8% year-over-year. The projected growth rate from 2016-2021 is 2.4%, accounting for the potentially disruptive technologies as mentioned before that will affect freelance and independent consultants."
6	Management consulting: Big Four accounting firms in the management consulting market	"Big Four audit firms have been investing significantly into the strategy consulting market since 2010. In 2013, Deloitte acquired Monitor Group—now Monitor Deloitte—while PwC acquired PRTM in 2011 and Booz & Company in 2013—now Strategy&. From 2010 to 2013, several Big Four firms have tried to acquire Roland Berger. EY followed the trend, with acquisitions of the Parthenon Group in 2014, and both the BeNeLux and French businesses of OC&C in 2016 and 2017.
Deloitte has been named as the largest consulting firm for six years running as per Gartner's annual consulting report. Deloitte Consulting is broken up into three practices: Human Capital, Strategy & Operations, and Technology. They were ranked #4 on Vault's 2018, 2017 and 2016 rankings for consulting firms. In 2016, PwC overtook Deloitte again as the globe's largest consulting firm, with the revenue gap between the two Big Four firms at roughly $600 million, according to Gartner."
7	Management consulting: The future of the industry	"In 2013, an article in Harvard Business Review discussed the prevalent trends within the consulting industry to evolve. The authors noted that with knowledge being democratized and information becoming more and more accessible to anyone, the role of management consultants is rapidly changing. Moreover, with more online platforms that connect business executives to relevant consultants, the role of the traditional 'firm' is being questioned.Two emerging key trends will have a large impact on McKinsey, BCG, Bain and their counterparts: 1) new areas of specialization provide opportunities to establish new and valuable domain expertise and 2) expansion of consulting services from ""strategy only"" to a strategy plus implementation. As a result of the first trend, McKinsey et al. will publish research and build expertise in these new areas, which will help them re-gain a domain expertise edge and establish a competitive moat. In addition, these companies will start pitching, selling and delivering on more implementations work which will drive up revenues but also put these firms in direct competition with Accenture, Deloitte, etc."
8	Management consulting: United Kingdom	In the UK, the use of external management consultants within government has sometimes been contentious due to perceptions of variable value for money.  From 1997 to 2006, for instance, the UK government reportedly spent £20 billion on management consultants, raising questions in the House of Commons as to the returns upon such investment.The UK has also experimented with providing longer-term use of management consultancy techniques provided internally, particularly to the high-demand consultancy arenas of local government and the National Health Service; the Local Government Association's Improvement and Development Agency and the public health National Support Teams; both generated positive feedback at cost levels considered a fraction of what external commercial consultancy input would have incurred.
9	Management consulting: Europe	"European Standard EN 16114:2011 ""Management consultancy services""."
