Index	Title	Content
0	Management: Summary	"Management is the  administration of an organization, whether it is a business, a not-for-profit organization, or government body. Management includes the activities of setting the strategy of an organization and coordinating the efforts of its employees to accomplish its objectives through the application of available resources, such as financial, natural, technological, and human resources. The term ""management"" may also refer to those people who manage an organization.
 Social scientists study management as an academic discipline, investigating areas such as social organization and organizational leadership. Some people study management at colleges or universities; major degrees in management include the Bachelor of Commerce and Master of Business Administration and, for the public sector, the Master of Public Administration degree. Individuals who aim to become management specialists or experts, management researchers, or professors may complete the Doctor of Management, the Doctor of Business Administration, or the PhD in Business Administration or Management.
Larger organizations generally have three levels of managers, which are typically organized in a  hierarchical, pyramid structure:

 Senior managers, such as members of a Board of Directors and a Chief Executive Officer or a President of an organization. They set the strategic goals of the organization and make decisions on how the overall organization will operate. Senior managers are generally executive-level professionals, and provide direction to middle management who directly or indirectly report to them.
 Middle managers, examples of which would include branch managers, regional managers, department managers and section managers, provide direction to front-line managers. Middle managers communicate the strategic goals of senior management to the front-line managers.
 Lower managers, such as supervisors and front-line team leaders, oversee the work of regular employees and provide direction on their work.In smaller organizations, an individual manager may have a much wider scope. A single manager may perform several roles or even all of the roles commonly observed in a large organization.

"
1	Management: Definitions	"Views on the definition and scope of management include:

According to Henri Fayol, ""to manage is to forecast and to plan, to organise, to command, to co-ordinate and to control.""
Fredmund Malik defines it as ""the transformation of resources into utility.""
Management included as one of the factors of production – along with machines, materials and money.
Ghislain Deslandes defines it as “a vulnerable force, under pressure to achieve results and endowed with the triple power of constraint, imitation and imagination, operating on subjective, interpersonal, institutional and environmental levels”.
Peter Drucker saw the basic task of management as twofold: marketing and innovation. Nevertheless, innovation is also linked to marketing. Peter Drucker identifies marketing as a key essence for business success, but management and marketing are generally understood as two different branches of business administration knowledge."
2	Management: Theoretical scope	"Management involves identifying the mission, objective, procedures, rules and manipulation
of the human capital of an enterprise to contribute to the success of the enterprise. This implies effective communication: an enterprise environment implies human motivation and implies some sort of successful progress or system outcome. As such, management is not the manipulation of a mechanism, not the herding of animals, and can occur either in a legal or in an illegal enterprise or environment. From an individual's perspective, management does not need to be seen solely from an enterprise point of view, because management is an essential function to improve one's life and relationships.  Management is therefore everywhere and it has a wider range of application. Based on this, management must have humans. Communication and a positive endeavor are two main aspects of it either through enterprise or independent pursuit. Plans, measurements, motivational psychological tools, goals, and economic measures may or may not be necessary components for there to be management. At first, one views management functionally, such as measuring quantity, adjusting plans, meeting goals. This applies even in situations where planning does not take place. From this perspective, Henri Fayol
considers management to consist of six functions:

forecasting
planning
organizing
commanding
coordinating
controllingIn another way of thinking, Mary Parker Follett, allegedly defined management as ""the art of getting things done through people"".
She described management as philosophy.Critics, however, find this definition useful but far too narrow. The phrase ""management is what managers do"" occurs widely,
suggesting the difficulty of defining management without circularity, the shifting nature of definitions and the connection of managerial practices with the existence of a managerial cadre or of a class.
One habit of thought regards management as equivalent to ""business administration"" and thus excludes management in places outside commerce, as for example in charities and in the public sector. More broadly, every organization must ""manage"" its work, people, processes, technology, etc. to maximize effectiveness. Nonetheless, many people refer to university departments that teach management as ""business schools"". Some such institutions use that name, while others employ the broader term ""management"".
English-speakers may also use the term ""management"" or ""the management"" as a collective word describing the managers of an organization, for example of a corporation.
Historically this use of the term often contrasted with the term ""labor"" – referring to those being managed.But in the present era the concept of management is identified in the wide areas and its frontiers have been pushed to a broader range. Apart from profitable organizations even non-profitable organizations apply management concepts. The concept and its uses are not constrained. Management on the whole is the process of planning, organizing, coordinating, leading and controlling."
3	Management: Nature of work	In profitable organizations, management's primary function is the satisfaction of a range of stakeholders. This typically involves making a profit, creating valued products at a reasonable cost, and providing great employment opportunities for employees. In nonprofit management, add the importance of keeping the faith of donors. In most models of management and governance, shareholders vote for the board of directors, and the board then hires senior management. Some organizations have experimented with other methods of selecting or reviewing managers, but this is rare.
4	Management: History	"Some see management as a late-modern conceptualization. On those terms it cannot have a pre-modern history - only harbingers. Others, however, detect management-like thought among ancient Sumerian traders and the builders of the pyramids of ancient Egypt. Slave-owners through the centuries faced the problems of exploiting/motivating a dependent but sometimes unenthusiastic or recalcitrant workforce, but many pre-industrial enterprises, given their small scale, did not feel compelled to face the issues of management systematically. However, innovations such as the spread of  Hindu numerals and the codification of  double-entry book-keeping provided  tools for management assessment, planning and control.
Machiavelli  wrote about how to make organisations efficient and effective. The principles that Machiavelli set forth in Discourses can apply in adapted form to the management of organisations today:
An organisation is more stable if members have the right to express their differences and solve their conflicts within  it.
While one person can begin an organisation, ""it is lasting when it is left in the care of many and when many desire to maintain it"".
A weak manager can follow a strong one, but not another weak one, and maintain authority.
A manager seeking to change an established organization ""should retain at least a shadow of the ancient customs"".With the changing workplaces of industrial revolutions in the 18th and 19th centuries, military theory and practice contributed approaches to managing the newly-popular factories.Given the scale of most commercial operations and the lack of mechanized record-keeping and recording before the industrial revolution, it made sense for most owners of enterprises in those times to carry out management functions by and for themselves. But with growing size and complexity of organizations, a distinction between owners and day-to-day managers gradually became more common."
5	Management: Etymology	"The English verb ""manage"" comes from the Italian maneggiare, which derives from the two Latin words manus and agere. The French word for housekeeping, ménagerie, derived from ménager, also encompasses taking care of domestic animals. Ménagerie is the French translation of Xenophon's famous book Oeconomicus on household matters and husbandry. The French word mesnagement influenced the semantic development of the English word management in the 17th and 18th centuries."
6	Management: Early writing	"Management has existed for millennia, and several writers have produced background works that have contributed to modern management theories. Some theorists have cited ancient military texts as providing lessons for civilian managers.  For example, Chinese general Sun Tzu in his 6th-century BC work The Art of War recommends being aware of and acting on strengths and weaknesses of both a manager's organization and a foe's. The writings of influential Chinese Legalist philosopher Shen Buhai may be considered to embody a rare premodern example of abstract theory of administration.Various ancient and medieval civilizations produced ""mirrors for princes"" books, which aimed to advise new monarchs on how to govern. Plato described job specialization in 350 BC, and Alfarabi listed several leadership traits in AD 900. Other examples include the Indian Arthashastra by Chanakya, and The Prince by Italian author
Niccolò Machiavelli.

Written in 1776 by Adam Smith, a Scottish moral philosopher, The Wealth of Nations discussed efficient organization of work through division of labour.
Smith described how changes in processes could boost productivity in the manufacture of pins. While individuals could produce 200 pins per day, Smith analyzed the steps involved in manufacture and, with 10 specialists, enabled production of 48,000 pins per day."
7	Management: 19th century	"Classical economists such as Adam Smith and John Stuart Mill provided a theoretical background to resource-allocation, production, and pricing issues. About the same time, innovators like Eli Whitney, James Watt, and Matthew Boulton developed elements of technical production such as standardization,  quality-control procedures,  cost-accounting, interchangeability of parts, and  work-planning. Many of these aspects of management existed in the pre-1861 slave-based sector of the US economy. That environment saw 4 million people, as the contemporary usages had it, ""managed"" in profitable quasi-mass production.
Salaried managers as an identifiable group first became prominent in the late 19th century."
8	Management: 20th century	"By about 1900 one finds managers trying to place their theories on what they regarded as a thoroughly scientific basis. Examples include Henry R. Towne's Science of management in the 1890s, Frederick Winslow Taylor's The Principles of Scientific Management, Lillian Gilbreth's Psychology of Management, Frank and  Lillian Gilbreth's Applied motion study, and Henry L. Gantt's charts. J. Duncan wrote the first college management-textbook in 1911. In 1912 Yoichi Ueno introduced Taylorism to Japan and became the first management consultant of the ""Japanese-management style"". His son Ichiro Ueno pioneered Japanese quality assurance.
The first comprehensive theories of management appeared around 1920. The Harvard Business School offered the first Master of Business Administration degree in 1921. People like Henri Fayol and Alexander Church described the various branches of management and their inter-relationships. In the early-20th century, people like Ordway Tead,  Walter Scott and J. Mooney applied the principles of psychology to management. Other writers, such as Elton Mayo, Mary Parker Follett, Chester Barnard, Max Weber, who saw what he called the ""administrator"" as bureaucrat, Rensis Likert, and Chris Argyris approached the phenomenon of management from a sociological perspective.
Peter Drucker wrote one of the earliest books on applied management: Concept of the Corporation. It resulted from Alfred Sloan commissioning a study of the organisation. Drucker went on to write 39 books, many in the same vein.
H. Dodge, Ronald Fisher, and Thornton C. Fry introduced statistical techniques into management-studies. In the 1940s, Patrick Blackett worked in the development of the applied-mathematics science of operations research, initially for military operations. Operations research, sometimes known as ""management science"", attempts to take a scientific approach to solving decision-problems, and can apply directly to multiple management problems, particularly in the areas of logistics and operations.
Some of the more recent developments include the Theory of Constraints, management by objectives,  reengineering, Six Sigma, the Viable system model, and various information-technology-driven theories such as agile software development, as well as group-management theories such as Cog's Ladder.
As the general recognition of managers as a class solidified during the 20th century and gave perceived practitioners of the art/science of management a certain amount of prestige, so the way opened for  popularised systems of management ideas to peddle their wares. In this context many management fads may have had more to do with pop psychology than with scientific theories of management.
Towards the end of the 20th century, business management came to consist of six separate branches, namely:

financial management
human resource management
information technology management
marketing management
operations management and production management
strategic management"
9	Management: 21st century	"In the 21st century observers find it increasingly difficult to subdivide management into functional categories in this way. More and more processes simultaneously involve several categories. Instead, one tends to think in terms of the various processes, tasks, and objects subject to management.Branches of management theory also exist relating to nonprofits and to government: such as public administration, public management, and educational management. Further, management programs related to  civil-society organizations have also spawned programs in nonprofit management and social entrepreneurship.
Note that many of the assumptions made by management have come under attack from  business-ethics viewpoints, critical management studies, and anti-corporate activism.
As one consequence, workplace democracy has become both more common and more advocated, in some places distributing all management functions among workers, each of whom takes on a portion of the work. However, these models predate any current political issue, and may occur more naturally than does a command hierarchy. All management embraces to some degree a democratic principle—in that in the long term, the majority of workers must support management. Otherwise, they leave to find other work or go on strike. Despite the move toward workplace democracy, command-and-control organization structures remain commonplace as de facto organization structures. Indeed, the entrenched nature of command-and-control is evident in the way that recent layoffs have been conducted with management ranks affected far less than employees at the lower levels. In some cases, management has even rewarded itself with bonuses after laying off lower-level workers.According to leadership-academic Manfred F.R. Kets de Vries, a contemporary senior-management team will almost inevitably have some personality disorders."
