Index	Title	Content
0	Safety: Summary	"Safety is the state of being ""safe"", the condition of being protected from harm or other non-desirable outcomes. Safety can also refer to the control of recognized hazards in order to achieve an acceptable level of risk."
1	Safety: MeaningsEdit	"There are two slightly different meanings of safety. For example, home safety may indicate a building's ability to protect against external harm events, or may indicate that its internal installations are safe for its inhabitants.
Discussions of safety often include mention of related terms. Security is such a term. With time the definitions between these two have often become interchanged, equated, and frequently appear juxtaposed in the same sentence. Readers unfortunately are left to conclude whether they comprise a redundancy. This confuses the uniqueness that should be reserved for each by itself. When seen as unique, as we intend here, each term will assume its rightful place in influencing and being influenced by the other.
Safety is the condition of a “steady state” of an organization or place doing what it is supposed to do. “What it is supposed to do” is defined in terms of public codes and standards, associated architectural and engineering designs, corporate vision and mission statements, and operational plans and personnel policies. For any organization, place, or function, large or small, safety is a normative concept. It complies with situation-specific definitions of what is expected and acceptable.Using this definition, protection from a home’s external threats and protection from its internal structural and equipment failures are not two types of safety but rather two aspects of a home’s steady state.
In the world of everyday affairs, not all goes as planned. Some entity’s steady state is challenged. This is where security science, which is of more recent date, enters.  Drawing from the definition of safety, then:
Security is the process or means, physical or human, of delaying, preventing, and otherwise protecting against external or internal, defects, dangers, loss, criminals, and other individuals or actions that threaten, hinder or destroy an organization’s “steady state,” and deprive it of its intended purpose for being.
Using this generic definition of safety it is possible to specify the elements of a security program."
2	Safety: LimitationsEdit	"Safety can be limited in relation to some guarantee or a standard of insurance to the quality and unharmful function of an object or organization. It is used in order to ensure that the object or organization will do only what it is meant to do.
It is important to realize that safety is relative. Eliminating all risk, if even possible, would be extremely difficult and very expensive. A safe situation is one where risks of injury or property damage are low and manageable."
3	Safety: TypesEdit	There is a distinction between products that meet standards, that are safe, and that merely feel safe. The highway safety community uses these terms:
4	Safety: NormativeEdit	Normative safety is achieved when a product or design meets applicable standards and practices for design and construction or manufacture, regardless of the product's actual safety history.
5	Safety: SubstantiveEdit	Substantive or objective safety occurs when the real-world safety history is favorable, whether or not standards are met.
6	Safety: PerceivedEdit	"Perceived or subjective safety refers to the users' level of comfort and perception of risk, without consideration of standards or safety history. For example, traffic signals are perceived as safe, yet under some circumstances, they can increase traffic crashes at an intersection. Traffic roundabouts have a generally favorable safety record yet often make drivers nervous.
Low perceived safety can have costs. For example, after the 9/11/2001 attacks, many people chose to drive rather than fly, despite the fact that, even counting terrorist attacks, flying is safer than driving. Perceived risk discourages people from  walking and bicycling for transportation, enjoyment or exercise, even though the health benefits outweigh the risk of injury."
7	Safety: SecurityEdit	"Also called social safety or public safety, security addresses the risk of harm due to intentional criminal acts such as assault, burglary or vandalism.
Because of the moral issues involved, security is of higher importance to many people than substantive safety. For example, a death due to murder is considered worse than a death in a car crash, even though in many countries, traffic deaths are more common than homicides."
8	Safety: Risks and responsesEdit	"Safety is generally interpreted as implying a real and significant impact on risk of death, injury or damage to property.  In response to perceived risks many interventions may be proposed with engineering responses and regulation being two of the most common.
Probably the most common individual response to perceived safety issues is insurance, which compensates for or provides restitution in the case of damage or loss."
9	Safety: System safety and reliability engineeringEdit	"System safety and reliability engineering is an engineering discipline. Continuous changes in technology, environmental regulation and public safety concerns make the analysis of complex safety-critical systems more and more demanding.
A common fallacy, for example among electrical engineers regarding structure power systems, is that safety issues can be readily deduced. In fact, safety issues have been discovered one by one, over more than a century in the case mentioned, in the work of many thousands of practitioners, and cannot be deduced by a single individual over a few decades. A knowledge of the literature, the standards and custom in a field is a critical part of safety engineering. A combination of theory and track record of practices is involved, and track record indicates some of the areas of theory that are relevant.
Safety is often seen as one of a group of related disciplines: quality, reliability, availability, maintainability and safety. These issues tend to determine the value of any work, and deficits in any of these areas are considered to result in a cost, beyond the cost of addressing the area in the first place; good management is then expected to minimize total cost."
