Index	Title	Content
0	Whistleblower: Summary	"A whistleblower is a person who exposes any kind of information or activity that is deemed illegal, unethical, or not correct within an organization that is either private or public. The information of alleged wrongdoing can be classified in many ways: violation of company policy/rules, law, regulation, or threat to public interest/national security, as well as fraud, and corruption. Those who become whistleblowers can choose to bring information or allegations to surface either internally or externally. Internally, a whistleblower can bring his/her accusations to the attention of other people within the accused organization such as an immediate supervisor. Externally, a whistleblower can bring allegations to light by contacting a third party outside of an accused organization such as the media, government, law enforcement, or those who are concerned. Whistleblowers, however, take the risk of facing stiff reprisal and retaliation from those who are accused or alleged of wrongdoing.
Because of this, a number of laws exist to protect whistleblowers. Some third party groups even offer protection to whistleblowers, but that protection can only go so far. Whistleblowers face legal action, criminal charges, social stigma, and termination from any position, office, or job. Two other classifications of whistleblowing are private and public. The classifications relate to the type of organizations someone chooses to whistle-blow on: private sector, or public sector. Depending on many factors, both can have varying results. However, whistleblowing in the public sector organization is more likely to result in criminal charges and possible custodial sentences. A whistleblower who chooses to accuse a private sector organization or agency is more likely to face termination and legal and civil charges.
Deeper questions and theories of whistleblowing and why people choose to do so can be studied through an ethical approach. Whistleblowing is a topic of ongoing ethical debate. Leading arguments in the ideological camp that whistleblowing is ethical maintain that whistleblowing is a form of civil disobedience, and aims to protect the public from government wrongdoing. In the opposite camp, some see whistleblowing as unethical for breaching confidentiality, especially in industries that handle sensitive client or patient information. Legal protection can also be granted to protect whistleblowers, but that protection is subject to many stipulations. Hundreds of laws grant protection to whistleblowers, but stipulations can easily cloud that protection and leave whistleblowers vulnerable to retaliation and legal trouble. However, the decision and action has become far more complicated with recent advancements in technology and communication. Whistleblowers frequently face reprisal, sometimes at the hands of the organization or group they have accused, sometimes from related organizations, and sometimes under law. Questions about the legitimacy of whistleblowing, the moral responsibility of whistleblowing, and the appraisal of the institutions of whistleblowing are part of the field of political ethics."
1	Whistleblower: Origin of term	"U.S. civic activist Ralph Nader is said to have coined the phrase, but he in fact put a positive spin on the term in the early 1970s to avoid the negative connotations found in other words such as ""informer"" and ""snitch"". However, the origins of the word date back to the 19th century.
The word is linked to the use of a whistle to alert the public or a crowd about a bad situation, such as the commission of a crime or the breaking of rules during a game. The phrase whistle blower attached itself to law enforcement officials in the 19th century because they used a whistle to alert the public or fellow police. Sports referees, who use a whistle to indicate an illegal or foul play, also were called whistle blowers.An 1883 story in the Janesville Gazette called a policeman who used his whistle to alert citizens about a riot a whistle blower, without the hyphen. By the year 1963, the phrase had become a hyphenated word, whistle-blower. The word began to be used by journalists in the 1960s for people who revealed wrongdoing, such as Nader. It eventually evolved into the compound word whistleblower."
2	Whistleblower: Internal	Most whistleblowers are internal whistleblowers, who report misconduct on a fellow employee or superior within their company through anonymous reporting mechanisms often called hotlines. One of the most interesting questions with respect to internal whistleblowers is why and under what circumstances do people either act on the spot to stop illegal and otherwise unacceptable behavior or report it. There are some reasons to believe that people are more likely to take action with respect to unacceptable behavior, within an organization, if there are complaint systems that offer not just options dictated by the planning and control organization, but a choice of options for absolute confidentiality.Anonymous reporting mechanisms, as mentioned previously, help foster a climate whereby employees are more likely to report or seek guidance regarding potential or actual wrongdoing without fear of retaliation. The coming ISO 37001 – anti-bribery management systems standard, includes anonymous reporting as one of the criteria for the new standard.
3	Whistleblower: External	External whistleblowers, however, report misconduct to outside persons or entities. In these cases, depending on the information's severity and nature, whistleblowers may report the misconduct to lawyers, the media, law enforcement or watchdog agencies, or other local, state, or federal agencies. In some cases, external whistleblowing is encouraged by offering monetary reward.
4	Whistleblower: Third party	"The third party service involves utilizing an external agency to inform the individuals at the top of the organizational pyramid of misconduct, without disclosing the identity of the whistleblower. This is a relatively new phenomenon and has been developed due to whistleblower discrimination. International Whistleblowers is an example of an organization involved in delivering a third party service for whistleblowers.
An increasing number of companies and authorities use third party services in which the whistleblower is anonymous also towards the third party service provider. This is possible via toll free phone numbers configured not to record the whistleblower origin call, and also through web solutions which apply asymmetrical encryption."
5	Whistleblower: Private sector whistleblowing	"Private sector whistleblowing, though not as high profile as public sector whistleblowing, is arguably more prevalent and suppressed in society today. Simply because private corporations usually have stricter regulations that suppress potential whistleblowers. An example of private sector whistleblowing is when an employee reports to someone in a higher position such as a manager, or a third party that is isolated from the individual chapter, such as their lawyer or the police. In the private sector corporate groups can easily hide wrongdoings by individual branches. It is not until these wrongdoings bleed into the top officials that corporate wrongdoings are seen by the public. Situations in which a person may blow the whistle are in cases of violated laws or company policy, such as sexual harassment or theft. These instances, nonetheless, are small compared to money laundering or fraud charges on the stock market. Whistleblowing in the private sector is typically not as high-profile or openly discussed in major news outlets, though occasionally, third parties expose human rights violations and exploitation of workers. While there are organizations such as the United States Department of Labor, and laws in place such as the Sarbanes-Oxley Act and the United States Federal Sentencing Guidelines for Organizations which protects whistleblowers in the private sector, many employees still fear for their jobs due to direct or indirect threats from their employers or the other parties involved. In an effort to overcome those fears, in 2010 Dodd–Frank Wall Street Reform and Consumer Protection Act was put forth to provide great incentive to whistleblowers. For example, if a whistleblower gave information which could be used to legally recover over one million dollars; then they could receive ten to thirty percent of it.
Despite government efforts to help regulate the private sector, the employees must still weigh their options. They either expose the company and stand the moral and ethical high ground; or expose the company, lose their job, their reputation and potentially the ability to be employed again. According to a study at the University of Pennsylvania, out of three hundred whistleblowers studied, sixty nine percent of them had foregone that exact situation; and they were either fired or were forced to retire after taking the ethical high ground. It is outcomes like that which makes it all that much harder to accurately track how prevalent whistleblowing is in the private sector."
6	Whistleblower: Public sector whistleblowing	Recognizing the public value of whistleblowing has been increasing over the last 50 years. In the United States, both state and Federal statutes have been put in place to protect whistleblowers from retaliation. The United States Supreme Court ruled that public sector whistleblowers are protected under First Amendment rights from any job retaliation when they raise flags over alleged corruption. Exposing misconduct or illegal or dishonest activity is a big fear for public employees because they feel they are going against their government and country. Private sector whistleblowing protection laws were in place long before ones for the public sector. After many federal whistleblowers were scrutinized in high-profile media cases, laws were finally introduced to protect government whistleblowers. These laws were enacted to help prevent corruption and encourage people to expose misconduct, illegal, or dishonest activity for the good of society. People who choose to act as whistleblowers often suffer retaliation from their employer. They most likely are fired because they are an at-will employee, which means they can be fired without a reason. There are exceptions in place for whistleblowers who are at-will employees. Even without a statute, numerous decisions encourage and protect whistleblowing on grounds of public policy. Statutes state that an employer shall not take any adverse employment actions any employee in retaliation for a good-faith report of a whistleblowing action or cooperating in any way in an investigation, proceeding, or lawsuit arising under said action. Federal whistleblower legislation includes a statute protecting all government employees. In the federal civil service, the government is prohibited from taking, or threatening to take, any personnel action against an employee because the employee disclosed information that he or she reasonably believed showed a violation of law, gross mismanagement, and gross waste of funds, abuse of authority, or a substantial and specific danger to public safety or health. To prevail on a claim, a federal employee must show that a protected disclosure was made, that the accused official knew of the disclosure, that retaliation resulted, and that there was a genuine connection between the retaliation and the employee's action.
7	Whistleblower: Harm	"Individual harm, public trust damage, and a threat of national security are three categories of harm that may come to whistleblowers. Revealing whistleblower identities automatically puts their life in harm's way. Especially with media outlets using words like ""traitor"" and ""treason"" to associate with whistleblowers. There are many countries around the world that associate treason with the death penalty, even though whoever allegedly committed treason may or may not have caused anyone physical harm.  A primary reason for the death penalty would be that they have potentially endangered an entire people, therefore being responsible for any harm to come as a result. US law states,
""...whoever knowingly and willfully communicates, furnishes, transmits, or otherwise makes available to an unauthorized person, or publishes, or uses in any manner prejudicial to the safety or interest of the United States or for the benefit of any foreign government to the detriment of the United States any classified information.""Public trust dates back to the days of the Vietnam War. Henry Kissinger once said that the purpose of ""those who stole"" the Pentagon Papers was to ""undermine confidence in their government"" and ""raise doubts about our reliability in the minds of other governments, friend and foe, and indeed about the stability of our political system.""
Emotional strain on the accused from the whistle blower is also unconstrained.  When a leader challenges a whistle blower, there is an automatic indictment of the leader's character. Questioning the whistleblower makes the accused guilty until proven innocent."
8	Whistleblower: Common reactions	"Whistleblowers are sometimes seen as selfless martyrs for public interest and organizational accountability; others view them as ""traitors"" or ""defectors.""  Some even accuse them of solely pursuing personal glory and fame, or view their behavior as motivated by greed in qui tam cases.  Some academics feel that whistleblowers should at least be entitled to a rebuttable presumption that they are attempting to apply ethical principles in the face of obstacles and that whistleblowing would be more respected in governance systems if it had a firmer academic basis in virtue ethics.It is probable that many people do not even consider blowing the whistle, not only because of fear of retaliation, but also because of fear of losing their relationships at work and outside work.Persecution of whistleblowers has become a serious issue in many parts of the world:

Employees in academia, business or government might become aware of serious risks to health and the environment, but internal policies might pose threats of retaliation to those who report these early warnings. Private company employees in particular might be at risk of being fired, demoted, denied raises and so on for bringing environmental risks to the attention of appropriate authorities. Government employees could be at a similar risk for bringing threats to health or the environment to public attention, although perhaps this is less likely.

There are examples of ""early warning scientists"" being harassed for bringing inconvenient truths about impending harm to the notice of the public and authorities. There have also been cases of young scientists being discouraged from entering controversial scientific fields for fear of harassment.Whistleblowers are often protected under law from employer retaliation, but in many cases punishment has occurred, such as termination, suspension, demotion, wage garnishment, and/or harsh mistreatment by other employees. A 2009 study found that up to 38% of whistleblowers experienced professional retaliation in some form, including wrongful termination. For example, in the United States, most whistleblower protection laws provide for limited ""make whole"" remedies or damages for employment losses if whistleblower retaliation is proven. However, many whistleblowers report there exists a widespread ""shoot the messenger"" mentality by corporations or government agencies accused of misconduct and in some cases whistleblowers have been subjected to criminal prosecution in reprisal for reporting wrongdoing.
As a reaction to this many private organizations have formed whistleblower legal defense funds or support groups to assist whistleblowers; three such examples are the National Whistleblowers Center in the United States, and Whistleblowers UK and Public Concern at Work in the United Kingdom. Depending on the circumstances, it is not uncommon for whistleblowers to be ostracized by their co-workers, discriminated against by future potential employers, or even fired from their organization. This campaign directed at whistleblowers with the goal of eliminating them from the organization is referred to as mobbing. It is an extreme form of workplace bullying wherein the group is set against the targeted individual."
9	Whistleblower: Psychological impact	"There is limited research on the psychological impacts of whistle blowing. However, poor experiences of whistleblowing can cause a prolonged and prominent assault upon staff well being. As workers attempt to address concerns, they are often met with a wall of silence and hostility by management. Some whistleblowers speak of overwhelming and persistent distress, drug and alcohol problems, paranoid behaviour at work, acute anxiety, nightmares, flashbacks and intrusive thoughts. Depression is often reported by whistleblowers, and suicidal thoughts may occur in up to about 10%. General deterioration in health and self care has been described. The range of symptomatology shares many of the features of posttraumatic stress disorder, though there is debate about whether the trauma experienced by whistleblowers meets diagnostic thresholds. Increased stress related physical illness has also been described in whistleblowers. The stresses involved in whistleblowing can be huge. As such, workers remain afraid to blow the whistle, in fear that they will not be believed or they have lost faith in believing that anything will happen if they do speak out. This fear may indeed be justified, because an individual who feels threatened by whistleblowing, may plan the career destruction of the ‘complainant’ by reporting fictitious errors or rumours. This technique, labelled as ‘gaslighting’ is a common, unconventional approach used by organizations to manage employees who cause difficulty by raising concerns. In extreme cases, this technique involves the organization or manager proposing that the complainant's mental health is unstable. Organizations also often attempt to ostracise and isolate whistleblowers by undermining their concerns by suggesting that these are groundless, carrying out inadequate investigations or by ignoring them altogether. Whistleblowers may also be disciplined, suspended and reported to professional bodies upon manufactured pretexts. Where whistleblowers persist in raising their concerns, they increasingly risk detriments such as dismissal.  Following dismissal, whistleblowers may struggle to find further employment due to damaged reputations, poor references and blacklisting. The social impact of whistleblowing through loss of livelihood, and family strain may also impact on whistleblowers’ psychological well being. Whistleblowers may also experience immense stress as a result of litigation regarding detriments such as unfair dismissal, which they often face with imperfect support or no support at all from unions. Whistleblowers who continue to pursue their concerns may also face long battles with official bodies such as regulators and government departments. Such bodies may reproduce the ""institutional silence"" by employers, adding to whistleblowers’ stress and difficulties. In all, some whistleblowers suffer great injustice, that may never be acknowledged or rectified. Such extreme experiences of threat and loss inevitably cause severe distress and sometimes mental illness, sometimes lasting for years afterwards. This mistreatment also deters others from coming forward with concerns. Thus, poor practices remain hidden behind a wall of silence, and prevent any organization from experiencing the improvements that may be afforded by intelligent failure. Some whistleblowers who part ranks with their organizations have had their mental stability questioned, such as Adrian Schoolcraft, the NYPD veteran who alleged falsified crime statistics in his department and was forcibly committed to a mental institution. Conversely, the emotional strain of a whistleblower investigation is devastating to the accused's family."
